NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult,PublicPreview,GeneralAvailability,BusinessValue,FeatureDetails
Relevance search integration for knowledge management in portals,Relevance search integration for knowledge management in portals,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/relevance-search-integration-knowledge-management-portals,,,Oct 2021,-,The search engines that power portal search and Dynamics 365 Customer Service search are different which leads to inconsistent knowledge article search results across the two surfaces for the same queries. Relevance search support for knowledge management in the portal brings consistent and seamless search experiences and search results. Portal users can now benefit from the steady stream of improvements being made to relevance search.Feature details,This feature will enable portal users to use relevance search to search the knowledge base. Relevance search support will replace the current portal global search and will support the following key capabilities:Content access levels: Provides another level of control that is separate from web roles to control access to knowledge articles in a portal.Product filters: Filter knowledge articles by product.Language filters: Filter knowledge articles by language.For more information on relevance search support in the Power Apps portals see Relevance search integration in portals in the Microsoft Power Platform: 2021 release wave 2 plan.
Usability improvements in knowledge management,Usability improvements in knowledge management,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/usability-improvements-knowledge-management,,,-,Oct 2021,Creating and maintaining high-quality articles can be challenging and time-consuming. Having a simple and intuitive authoring experience will make it easy for the knowledge author to create articles and keep them relevant and accurate. This feature is composed of a set of usability improvements that will improve the knowledge authoring and consumption processes.Feature details,Key capabilities of the feature include:An easy and intuitive experience for adding and managing knowledge article attachments.A visual cue to help distinguish internal and external knowledge content in the knowledge search results card.Improvements to the publishing experience in the Publish stage of the Knowledge Business Process Flow.See alsoAdd a file attachment to a knowledge article (docs)
Omnichannel voice,Omnichannel voice,Omnichannel voice,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/planned-features,,,,,,
Call intelligence,Call intelligence,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/call-intelligence,,,-,Nov 2021,The transcript of a call and an in-depth analysis of a particular call recording can help an organization better understand how the engagement with the customer progressed and present opportunities for agent training.Feature details,Through historical analytics supervisors will be able to drill into a particular call to view more details. Each call will include voice-specific metrics such as talk-to-listen ratio talking speed and more. Supervisors can also see the detailed sentiment throughout the call shown alongside the transcript for further analysis. This view helps supervisors better understand how the call went and identify areas for improvement.This capability leverages the call transcription and sentiment analysis to produce the following metrics:Talking speedSwitches per hourPause before speakingLongest customer monologue
Call recording,Call recording,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/call-recording,,,-,Nov 2021,Customer service agents typically need to review phone calls with customers. Call recording allows agents to record phone calls between agents and customers. This helps the organization to revisit the interaction to better understand the customer's issues in their own words and increase the possibility of resolving the customer's problems or questions. Call recordings are also helpful for training scenarios where an organization can share examples of great customer interactions among the team.Feature details,When a phone conversation begins between a customer and an agent the agent will have the option to record the phone call. The agent can pause and resume the recording at any time and this can help prevent irrelevant or sensitive information from being recorded. Call recordings are stored natively in Dynamics 365 and are related to conversations cases and customers. When call recordings are used with call transcription it is easy for agents to search through conversations and retrieve details.
Call transcription and real-time sentiment analysis,Call transcription and real-time sentiment analysis,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/call-transcription-real-time-sentiment-analysis,,,-,Nov 2021,Customer service agents often need to take notes while helping customers during a phone call. Call transcription converts a phone conversation into written words which reduces the amount of notes an agent needs to take and helps with accessibility. Furthermore sentiment analysis examines the conversation and identifies the general sentiment or mood of the customer  if theyre slightly angry or very disappointed for example. Call transcription and sentiment analysis are used by the system to proactively analyze cases and provide agents with suggestions for how to resolve issues.Feature details,Call transcription converts a phone conversation into written words and then stores them as plain text while the call is in progress. Sentiment analysis tags a sentiment on the top of a conversation and is continually updated as the conversation evolves.Call transcription and sentiment analysis are included out-of-the-box with no additional setup or configuration required.
Consult and transfer,Consult and transfer,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/consult-transfer,,,-,Nov 2021,Omnichannel for Customer Service offers customer service agents the ability to easily consult with and transfer calls to other customer service representatives and helps improve agents' ability to resolve customer issues.Feature details,For customers' issues that require specific expertise to address while on such a call with a customer an agent can put the customer on hold and consult with another agent or manager. Agents can also transfer a call to a specific customer service agent which is referred to as a warm transfer. In other scenarios the agent can transfer the call to a queue from where it is then routed to the best-available agent based on rules that are configured by your business.
Direct outbound calling,Direct outbound calling,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/direct-outbound-calling,,,-,Nov 2021,The ability of agents to contact customers using voice calling remains one of the most important customer interaction methods in Dynamics 365 Customer Service. Direct outbound calling enables agents to contact customers using our native fully integrated voice channel based on Azure Communication Services where voice is another channel for agents and supervisors.Feature details,Agents can contact customers using voice calling. Direct outbound calls can be initiated using click-to-call directly from phone number fields in the following:CasesCustomer profilesCall back activitiesOngoing chat conversationsVia a phone dialerOutbound calls are displayed as conversations in the conversation history contextually per case/customer and timelines. Supervisors can monitor outbound calls just like any other customer interaction.This feature includes the following key highlights:A fully integrated outbound voice channel without third-party voice integration.A sample outbound voice channel that's configured automatically on voice channel provisioning.Easy channel administration within the Omnichannel admin experience.Outbound voice conversations that are just another conversation type in Omnichannel.Ability for supervisors to monitor outbound calls from within the ongoing conversations dashboard like any other agent or customer interaction.
Embedded analytics for voice channel,Embedded analytics for voice channel,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/embedded-analytics-voice-channel,,,-,Nov 2021,Traditional dashboards have limited interactive capabilities and provide a narrow view into the overall organization. With historical data embedded analytics for voice channel empowers service managers with the ability to identify problem areas and opportunities for improvement and provides rich slice-and-dice capabilities powered by Power BI.Feature details,Customer service managers or supervisors are responsible for managing the agents who work to resolve customer queries every day through the phone channel. With this release the embedded analytics provide trends over a period of time to help service managers understand how agents and queues are performing so they can take corrective measures provide appropriate guidance to agents and improve the customer support experience. Key insights cards provide an at-a-glance view into notable trends on core metrics and topics that are important for a supervisor to investigate further in the comprehensive reports. Agent-focused views display core metrics to help better understand the primary areas an agent worked in and identify opportunities for coaching.With these views supervisors can:Monitor operational metricssuch as inbound calls calls handled abandon rates average talk times and average speed to answer callsacross channels queues agents and topics.Monitor support quality through sentiment analysis across channels queues agents and topics.Geographic areasThis feature will be released into the following Microsoft Azure geographic areas:United StatesCanada
Intelligent voice bot via Power Virtual Agents and Microsoft Bot Framework,Intelligent voice bot via Power Virtual Agents and Microsoft Bot Framework,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/intelligent-voice-bot-via-power-virtual-agents-bot-framework,,,-,Nov 2021,With speech-enabled Power Virtual Agents businesses can empower their business users to build and update intelligent voice bots that use built-in natural language processing capabilities to engage conversationally with customers and provide personalized self-service. Bots can be built once and deployed across messaging and voice channels for maximum efficiency and consistency. For more advanced scenarios businesses can integrate bots built with the Microsoft Bot Framework to work on the voice channel.Feature details,With this feature businesses have a familiar bot authoring experience for all the customer service bots across messaging and voice. Customers can enjoy flexible free-form service experiences instead of inflexible menu trees. Bots can easily hand off the call to human agents with the conversation history and context gathered by them. This allows Omnichannel for Customer Service to route the customer from the bot to the best available live agent to provide a seamless and contextual handoff.The key highlights of this feature include:Enable Power Virtual Agents and Microsoft Bot Framework bots to provide intelligent voice bots on the voice channel.Support for built-in dual-tone multifrequency as a secondary means to interact with the bot.Transfer calls to human agents with full transcript and context.Use bots for post-call surveys.
Modern administration experience for Omnichannel voice (number management),Modern administration experience for Omnichannel voice (number management),null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/modern-administration-experience-omnichannel-voice-number-management,,,-,Nov 2021,Typically customer service organizations must manually integrate standalone telephony and customer relationship management (CRM) solutions which results in fragmented experiences and error-prone data integration. Administrators need to manage resources and phone numbers in the telephony providers app and manually bring over this information to the CRM solution. Very often this setup process requires collaboration between business and IT administrators adding delay to an already lengthy process.With the availability of Azure Communication Services Omnichannel for Customer Service now offers native voice channel. This all-in-one solution empowers business administrators to independently deploy a telephony resource and acquire phone numbers in a few steps offering a fast and consistent experience.Feature details,Until now administrators created resources and managed phone numbers in a separate telephony application and then manually deployed the numbers in the CRM solution. The long fragmented process is inconsistent and requires continuous maintenance to keep both applications in sync.With the native voice channel business administrators can deploy the telephony resource and acquire phone numbers without leaving the Omnichannel admin center app.The key highlights of this feature include:Telephony resource deployment using connection string or sign-in to the Azure account.Acquisition of phone numbers of various types and plans.Release of phone numbers.
Modern administration for Omnichannel SMS via Communication Services (number management),Modern administration for Omnichannel SMS via Communication Services (number management),null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/modern-administration-omnichannel-sms-via-communication-services-number-management,,,-,Nov 2021,Typically customer service organizations must manually integrate standalone telephony and customer relationship management (CRM) solutions resulting in fragmented experiences and error-prone manual data integration. Administrators need to manage resources and phone numbers in the telephony providers app and manually bring over this information to the CRM solution. Very often this setup process requires collaboration between business and IT administrators adding more delay to an already lengthy process.With the availability of Azure Communication Services Omnichannel for Customer Service now offers native new SMS channel. This all-in-one solution empowers business administrators to independently deploy SMS numbers and their acquisition in a few steps offering a fast and consistent experience.Feature details,Until now administrators created resources and managed phone numbers for SMS in a separate application and then manually deployed the numbers in the CRM solution. The long fragmented process is inconsistent and requires continuous maintenance to keep both applications in sync.With the native SMS channel business administrators can deploy the telephony resource and acquire phone numbers without leaving the Omnichannel admin center app.The key highlights of this feature include:Telephony resource deployment using connection string or sign-in to the Azure account.Acquisition and management of phone numbers for use as an SMS source
Supervisor monitoring and barge,Supervisor monitoring and barge,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/supervisor-monitoring-barge,,,-,Nov 2021,Service managers are responsible for the overall quality of customer service and they often need to observe customer service representatives who are on the phone with customers. Omnichannel for Customer Service allows supervisors to listen in on phone conversations and join a conversation if needed. This helps supervisors increase the likelihood of resolving customer issues enforce proper business practices and identify training opportunities.Feature details,Supervisors can now use the intraday insights dashboard to monitor phone calls along with other messaging channels. While monitoring phone calls they can review the live transcript of the calls and also choose to join in on the call anonymously as a hidden participant to ensure that the agents are offering the best service possible.In this feature the supervisor can:Monitor ongoing phone calls in their queues.Review the live transcript of the call as it is in progress.Listen in on the call.Announce and join the call to help the agents out with the customers issue in real time.
Topic clustering for voice,Topic clustering for voice,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/topic-clustering-voice,,,-,Nov 2021,Topics are automatically generated using AI to organize similar issues into groups. By aggregating metrics from issues grouped into the same topic organizations get a full view of KPIs and metric impact for each topic. For example organizations can view the average handle time sentiment and customer satisfaction score (CSAT) for a specific topic and whether the topic is a key driver for any of those metrics.Feature details,Topics represent semantically similar support issues and help organizations to better identify and respond to issues that their customers face. Supervisors can correlate these topics along with core historical analytics to quickly see common issues by volume CSAT impact and new cases and identify the areas in which they need to invest their time.In this release topics will be generated for the voice channel from the transcripts. This capability will help organizations better understand the issues that their customers face and the impact on core business metrics across the spectrum of engagement.
Voice channel powered by Azure Communication Services,Voice channel powered by Azure Communication Services,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/voice-channel-powered-azure-communication-services,,,-,Nov 2021,The new voice channel for Customer Service enables an all-in-one customer service solution without fragmentation or requirement of manual data integration. Our solution provides a single view of the customer that empowers agents to provide personalized service across all channels and true omnichannel analytics and insights for agents and supervisors alike. Providing organizations with a choice of telephony delivered directly by Microsoft enables quick and easy deployment of a voice channel for their business.Feature details,We are announcing the expansion of Microsoft Dynamics 365 Customer Service omnichannel capabilities to include a new voice channel built on Microsoft Azure Communication Services. The addition of this channel gives businesses the scale and reliability of the calling platform that powers Microsoft Teams worldwide today. With native voice businesses receive seamless end-to-end omnichannel experiences within a single solution ensuring consistent personalized and connected support across all channels of engagement. This end-to-end solution unifies all points of customer interaction data enabling businesses to simplify and streamline their processes gain instant insights into trends and deliver faster resolution from AI-driven assistance  all while ensuring your data remains secure and compliant backed by the trusted Microsoft cloud.Typically customer service organizations must manually integrate standalone telephony and customer relationship management (CRM) solutions which result in fragmented experiences for agents and customers across engagement channels. Ultimately these stitched-together solutions from multiple providers are not only complex to roll out and maintain but create data silos with disconnected insights of customer interactions and agent performance across channels. The addition of the voice channel enables Customer Service to offer businesses a solution that minimizes failure points caused by custom-built complex integrations and maximizes the ability to create better customer and agent experiences. This single holistic solution also makes it easier to scale to meet changing business needs.This feature enables organizations to adopt Azure Communication Services as a voice provider natively in Omnichannel for Customer Service and facilitates the following features:Phone number procurement and managementAbility to handle and distribute incoming callsAbility to make outbound callsAbility to manage SMS (inbound and outbound)Deep integration of voice into core Omnichannel for Customer Service functionalityReal-time sentiment analysisReal-time transcriptionReal-time translationReal-time smart assist suggestionsOperations management through supervisor dashboardsAbility to record and manage phone calls
Service-level agreements,Service-level agreements,Service-level agreements,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/planned-features,,,,,,
Usability enhancements in service-level agreements,Usability enhancements in service-level agreements,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/usability-enhancements-service-level-agreements,,,-,Oct 2021,Service-level agreements (SLAs) help businesses to define the level of service or support that they agree to offer to a customer in Customer Service. The enhancements in SLAs will enable service administrators and customer service agents to serve customers better.Feature details,The enhancements in the SLAs include the following:Recalculate SLA on case reactivation: When a case is resolved with the SLA in Pending state the SLA will move to terminal status such as Succeeded. If the case is then reactivated the customers can choose whether to keep the respective SLAs in the terminal status or recalculate the status based on the current case details. This functionality will be offered as an option through the service configuration settings.Past the deadline display a timer as running instead of showing terminal status: You can choose to show the timer with elapsed time even after the SLA has reached the terminal status such as expired or failed.
Timeline,Timeline,Timeline,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/planned-features,,,,,,
Bring your own data to timeline,Bring your own data to timeline,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/bring-own-data-timeline,,,-,Oct 2021,The timeline control provides an easy and immersive experience to view a customers history across cases accounts or contacts. Understanding the customers interaction history helps agents deliver more personalized service in an efficient and effective manner. Currently the timeline shows only data that is stored within the customer's instance which creates gaps in the interaction history that is visible to agents. This feature addresses this issue by allowing customers to bring data from outside their instance for view within the timeline.Feature details,A new virtual data model provides makers with the ability to develop solutions that allow them to bring data that is not stored in Dataverse and display it on the timeline. The data contract provides full support for the current record card layout and filters allowing for a seamless user experience irrespective of the source of the data.
Unified routing,Unified routing,Unified routing,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/planned-features,,,,,,
Improved historical analytics for unified routing scenarios,Improved historical analytics for unified routing scenarios,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/improved-historical-analytics-unified-routing-scenarios,,,-,Oct 2021,While diagnostics provides information on a particular work item historical analytics help organizations identify trends of cases conversations and other work items throughout their organization.Feature details,Administrators use unified routing and routing rules across the classification and assignment stages to help ensure the work item is assigned to the best suited agent. Embedded historical analytics provides an overview of routing performance of each channel to help optimize the routing strategy and improve the routing and workforce efficiency. Providing organizations a view of the effectiveness of configurations allows them to improve routing configurations to help increase their customer satisfaction and agent satisfaction scores.
Routing diagnostics for supervisors,Routing diagnostics for supervisors,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-customer-service/routing-diagnostics-supervisors,,,-,Oct 2021,Logic in routing and assignment can be complex and organizations want insight into what has occurred at each of the decision points. Especially when certain work items take longer time to be assigned or are incorrectly assigned understanding what rules were evaluated to what result is critical to ensure the system is running as expected.Feature details,Routing diagnostics helps an organization to better understand the path a work item takes after it comes into the routing system through all the classification and assignment rules to ultimately land in a queue or be assigned to an agent. Current routing diagnostics are available for administrators and are more focused on the workstream and queue routing. In this release routing diagnostics are being introduced to supervisor experiences and the quality of the diagnostics is being improved.
Dynamics 365 Field Service,Dynamics 365 Field Service,Dynamics 365 Field Service,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/,,,,,,
Empower frontline workers,Empower frontline workers,Empower frontline workers,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/planned-features,,,,,,
Field Service (Dynamics 365) mobile app usability enhancements,Field Service (Dynamics 365) mobile app usability enhancements,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/field-service-dynamics-365-mobile-app-usability-enhancements,,,-,Oct 2021,With usability enhancements in the Field Service (Dynamics 365) mobile app your frontline workers will get access to mobile-friendly experiences that will bring important information to the forefront making it easier to edit information on mobile and tablet touch screens and reduce the number of taps needed to perform various common tasks. These enhancements help reduce the time frontline workers need to spend in the app and lets them focus on the task at hand whether it's fixing an asset or addressing customer concerns.Feature details,The following usability enhancements will be available as part of this feature:Ability to add up to three custom fields on the mobile booking calendar control. Users will be able to see at a glace information they need to prepare for upcoming service visits.Multiline text boxes will now expand to fit the amount of text entered.Date time phone and numeric input will leverage default input controls provided by the device operating system. Use the same input patterns that you are familiar with in other apps on your mobile device.Work orders will default to use modern task-completion controls for work order service work order product and work order service tasks. Easily check off completed tasks and update products and services used with large touch-friendly icons.See alsoUse the Field Service (Dynamics 365) mobile app to complete work orders (docs)
Functional location and asset tree improvements,Functional location and asset tree improvements,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/functional-location-asset-tree-improvements,,,-,Oct 2021,Asset managers and frontline workers need to understand the complete hierarchy of locations and complex hierarchical assets to provide world-class service. These enhancements to the assets and locations tree control make this information easier to search and visualize.Feature details,The following enhancements make it quicker and easier to find locations and assets to help when visualizing or creating customer location and asset structures.If you initially searched for locations but not assets check Show assets to immediately retrigger the search and show the matched assets.When searching for assets or locations you can now see how many records match the search.You can expand and collapse multiple nodes of the tree at once with the global expand and collapse buttons.Matched search results are now highlighted even more clearly to help users see the matches.See alsoSearch the functional location tree (docs)
Collaborate throughout the work order lifecycle with embedded Microsoft Teams,Collaborate throughout the work order lifecycle with embedded Microsoft Teams,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/collaborate-throughout-work-order-lifecycle-embedded-teams,,,-,Jan 2022,Field service organizations are geographically dispersed between dispatch centers customer service centers and customer locations. However collaboration is critical to ensure an optimal outcome for customers. The work order process requires collaboration between customer service agents dispatchers asset managers account representatives and multiple frontline workers. For example dispatchers constantly communicate with frontline workers to understand whether they are running on time with their current job so they can adjust the schedule accordingly. Collaboration has traditionally been a source of pain. At best when organizations have a collaboration application people need to leave their workspace and open a separate application to communicate with their colleagues wasting valuable time that could be better spent helping customers. These conversations are not linked to the work order which means that as new stakeholders are brought in they are missing critical context about the work order.In other cases organizations do not provide a collaboration application which means people use their own private tools such as SMS and other chat applications. This exposes organizations to security risks and further disconnects conversations from the rest of the team.By embedding Microsoft Teams within the work order experience you can easily collaborate with your entire organization. And when enabled even external contacts such as customers and third-party subcontractors always keep the correct information in the work order context.Feature details,With embedded Microsoft Teams collaboration into Field Service any user involved in the work order process can collaborate using Teams functionality while seeing all the critical contextual conversations to ensure an optimal outcome.Teams integration includes the following capabilities:Chat with colleagues from within the work order form even if the conversation is not related to the work order saving you from switching to the Microsoft Teams app whenever you need to chat. View your existing chats or initiate a new chat.Initiate a new chat with one or many colleagues and optionally link the chat to the work order. When you initiate a new linked chat you're creating a brand new chat which means any previous conversations you had with the chat participants will not be brought into the new discussion keeping the context of the chat all about the work order.If a chat is linked to a case and the case is then converted into a work order that chat will automatically link to the work order for seamless cross-departmental collaboration.Associate conversations to the work order making it easy for your team members to see a clear picture of the status and history of the work order right in the context of their workspace. As new people engage to help complete the work order - such as a new frontline worker to help fix a problem - they can easily join the conversation and help deliver exceptional service.This integration will allow web users to seamlessly launch the full Microsoft Teams app from the chat pane and frontline workers using the Field Service (Dynamics 365) mobile app to collaborate through the Microsoft Teams mobile app.
Engage end-customers,Engage end-customers,Engage end-customers,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/planned-features,,,,,,
Enable customers to schedule service visits with a simple web experience,Enable customers to schedule service visits with a simple web experience,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/enable-customers-self-schedule-service-visits-through-easily-deployable-web-experience,,,Oct 2021,-,A significant portion of a support agents time is spent talking with customers and taking their preferences into account to schedule or reschedule a service visit. By adopting the customer self-scheduling feature you'll empower your customers to schedule service visits at their convenience directly from their devices. This will improve their experience by providing them with flexibility reducing scheduling errors and unwanted rescheduling. It will also reduce your organization's back-office costs by reducing support call volume associated with scheduling and freeing up those resources to focus on other value-driving activities.Feature details,This is an update to the preview of the feature that was released in 2021 wave 1.With self-scheduling you empower your customers to schedule service visits based on their preferences without having to speak with a customer service agent.The self-scheduling feature is based on the Power Apps portals providing a responsive customer-focused interface that can be accessed from any device. The feature follows a similar template-based deployment pattern to that of the track my technician feature previously released in 2021 wave 1. Your customers can access self-scheduling from the customer experiences home page. You can theme and brand the experience to match your own company styles giving a consistent look and feel across your own web properties.Your customers will gain access via direct invitations which can be automatically sent to new or existing customers. As part of this update you can also invite an individual customer manually if needed. When customers are scheduling they will be offered available time slots based on real-time resource availability location and skills. This update ensures that suitable resources are automatically assigned to optimize for least travel duration. This logic is based upon the resource setup that you have already configured in Dynamics 365 Field Service. Also part of this update when customers select a service time the booking incorporates the expected travel duration and adjusts the start time of the field technician such that the technician arrives at the customer's expected time.You can also collect important pre-service customer information as part of the scheduling request which can provide guidance to service technicians when they visit. This feature is initially supported for onsite service visits only.In this update we have also improved the experience for administrators by adding validations and error messages while configuring an incident type for self-scheduling.See alsoEnable customers to self-schedule service appointments in Field Service (docs)
Engage your customers with the new customer experiences home page,Engage your customers with the new customer experiences home page,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/engage-customers-new-customer-experiences-homepage,,,Oct 2021,-,Making your customers feel empowered is a key aspect of building trust and long-lasting relationships with them. Doing so while reducing your support costs is even more critical for the success of the service organization.The new customer experience home page is the online destination for your customers to engage with you and manage their service. Instead of calling into a support center for common tasks such as scheduling a service visit or tracking the status of a technician for an ongoing booking your customers can self-serve through this home page. It gives your customers freedom to check on and manage their service at their own convenience while lowering your organizations back-office costs by reducing call volume.Feature details,The customer experience home page serves as the entry point for your customers to view their service history and manage their service visits.Only users who are invited to the experience by service organizations can access it after registering on the portal. This secure authenticated experience protects your customers data. The home page will provide your customers a starting point to leverage different engagement experiences. Customers will be able to see a list of their upcoming bookings. For current bookings they will be able to use the track my technician functionality to locate their technicians. They will also be able to use a self-scheduling feature to create future bookings or reschedule them.The home page has a responsive interface built on Power Apps portals and is accessible from any device. Users can theme and brand the experience to match their own companys styles giving a consistent look and feel across your various web properties.
Optimize service operations,Optimize service operations,Optimize service operations,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/planned-features,,,,,,
Enable location sharing and analytics capabilities by default for new organizations,Enable location sharing and analytics capabilities by default for new organizations,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/enable-location-sharing-analytics-capabilities-default-new-organizations,,,-,Oct 2021,By enabling location sharing for new organizations dispatchers can schedule service appointments based on nearby frontline workers; your customers will receive service reminders that include estimated technician arrival times on the service day. This functionality maximizes field service operations while minimizing missed appointments. And by enabling our out-of-the-box analytics and insights you'll have information to help you track and optimize your field service operations.Feature details,Admins deploying new Field Service organizations will be ready to monitor and optimize their service operations with location sharing and our dashboard analytics and insights included with Dynamics 365 Field Service.Key notes about this functionality:Location sharing and dashboards will be enabled for new organizations only.This update won't impact existing deployments nor organizations in the sovereign cloud.Admins can disable location sharing or the dashboards analytics; for more information see our Field Service documentation.When frontline workers download the Dynamics 365 Field Service mobile app they will get the mobile OS prompts to control how they share their location.For location sharing your data will flow outside your organization's compliance and geographical boundaries. See Microsoft Privacy statement for more information.NoteThis feature is available in the legacy web client only.
New feature spotlight in the Field Service Get Started hub,New feature spotlight in the Field Service Get Started hub,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/new-feature-spotlight-field-service-get-started-hub,,,-,Oct 2021,The new feature spotlight in the Field Service Get Started hub makes it easier for admins to learn about new features and continuously transform their field service operations.Feature details,In 2021 release wave 1 we released the Get Started hub as a place for admins to discover and easily adopt Dynamics 365 Field Service. In 2021 release wave 2 we're updating the spotlight at the top of the Get Started hub with a carousel view that introduces new features along with supporting videos and links to documentation where you can learn more.NoteThis feature is available in the legacy web client only.
Modular work order pricing,Modular work order pricing,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/modular-work-order-pricing,,,-,Oct 2021,For many field service organizations pricing is not critical or not something they intend to derive out of their Field Service solution. The new setting makes it simpler to disable pricing in a Field Service implementation where pricing is not relevant or needed within Field Service. Disabling pricing when it isn't relevant removes unnecessary elements from the user interface and business process and allows organizations to focus their system on concepts that are more critical to their business.Feature details,For many Field Service organizations pricing is not something they intend to use within their Field Service implementation. This can be because:These service organizations don't need to see pricing information or generate invoices perhaps because they provide services to their own internal field resources and don't need to calculate a price for an invoice.Organizations may intend to generate invoices from their downstream existing ERP systems and only need Field Service to send over the relevant data that the downstream system uses to generate a price and accurate invoice.Field Service pricing will continue to be on by default.To disable a Field Service administrator or system administrator can change the Calculate Price toggle in Field Service settings.When pricing is disabled required pricing fields and logic are disabled and removed from the work order work order product and work order service records; relevant out-of-the-box views for both web and Field Service mobile app users are updated.
Work order form simplification,Work order form simplification,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/service/dynamics365-field-service/work-order-form-simplification,,,-,Oct 2021,Work orders are critical to field service operations as they capture the customer service required the work to be done and when the work must be done. With this wave we introduce a few simple changes to the work order form that will improve the time and effort required by back-office users and frontline workers to quickly manage the work orders current state and understand or update a work order's committed service timing.Feature details,Based on customer feedback we have identified a number of ways for Field Service to simplify the work order form for back-office staff and frontline workers in the field.This release includes a few important work order form simplifications:Work order completion dialog: Historically when a user set the work order to complete if the work order had bookings in an incomplete state Field Service would present the user with an error message. With this improvement we've implemented a dialog to help the user understand why they're blocked and provide them with a simple action to complete or cancel their open bookings and successfully set the work order to complete. This change will help both back-office staff and frontline workers in the field as they navigate a work order through its lifecycle.Simplifying time commitments on work order: Customers have expressed confusion with the multiple fields currently available to track work order time commitments. In this release we are hiding the Date Window Start and Date Window End fields so that time commitments for all use cases leverage the Time From and Time To Promise fields including on the Field Service agreements.For all new implementations this updated behavior will be the default; existing customers will not be impacted by this change unless their Field Service administrators or system administrators change the Pre/Post Booking Flexibility Date Field Population setting in the Agreements tab of their Field Service settings.See alsoWork order user interface settings (docs)
