NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult,PublicPreview,GeneralAvailability,BusinessValue,FeatureDetails,ParentNodeName
Unified routing,Unified routing,Unified routing,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/service/dynamics365-customer-service/planned-features,,,,,,,CE
Enhancement in default queues for unified routing,Enhancement in default queues for unified routing,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/service/dynamics365-customer-service/enhancement-default-queues-unified-routing,,,-,Apr 2022,Default queues are used to handle misrouted work items and routing errors gracefully. With the upcoming enhancements every workstream will have a default queue and supervisors can monitor them for misrouted items. These updates will simplify the management experience and minimize the time taken to reroute items to the right destination.,With the enhancements in the default queues administrators will be able to set a default queue for every workstream. Work items that don't match any routing conditions or work items that encounter any error during the routing process will be routed to the default queue. Supervisors can monitor a fixed set of default queues and mitigate issues for the incorrectly routed work items.,CE
Enhancements in diagnostics for unified routing,Enhancements in diagnostics for unified routing,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/service/dynamics365-customer-service/enhancements-diagnostics-unified-routing,,,-,Apr 2022,The logic used in routing and assignment of work items can be complex. Organizations want insights into the happenings at each of the decision points. When some work items take longer to be assigned or are incorrectly assigned its critical to understand the rules that were evaluated so that the system runs as expected.,With the new enhancements in diagnostics for unified routing administrators and supervisors will be able to see the errors and exceptions that occur during the routing process. They'll be able to look at the assignments in detail to understand how the work items were assigned and why some of them remained unassigned.,CE
Dynamics 365 Field Service,Dynamics 365 Field Service,Dynamics 365 Field Service,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/service/dynamics365-field-service/,,,,,,,CE
Dynamics 365 Field Service Feature,Dynamics 365 Field Service Feature,Dynamics 365 Field Service Feature,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/service/dynamics365-field-service/planned-features,,,,,,,CE
Dynamics 365 Field Service mobile usability enhancements,Dynamics 365 Field Service mobile usability enhancements,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/service/dynamics365-field-service/field-service-mobile-usability-enhancements,,,-,Apr 2022,With usability enhancements in the Dynamics 365 Field Service mobile app your frontline workers will get access to mobile-friendly experiences that will bring important information to the forefront making it easier to edit information on mobile and tablet touch screens and reducing the number of taps needed to perform common tasks. These enhancements help reduce the time frontline workers need to spend in the app and let them focus on the task at hand whether it's fixing an asset or addressing customer concerns.,The following usability enhancements will be available as part of this feature:  Date and time input fields will leverage default input controls provided by the device operating system.Mobile optimized device keyboards will be shown when interacting with numeric phone email and URL input fields.Large format devices (such as tablets and PCs) will have a streamlined agenda view available as part of their booking calendar.Customers' primary account phone numbers will be accessible directly on the Bookable Resource Booking Customer tab.The app interface will be streamlined by removing infrequently used commands including Start Task Flow and Assistant.,CE
Windows 10 support for Dynamics 365 Field Service mobile,Windows 10 support for Dynamics 365 Field Service mobile,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/service/dynamics365-field-service/windows-10-support-field-service-mobile,,,Oct 1 2021,Apr 2022,Dynamics 365 Field Service mobile is a next-generation app built on Microsoft Power Platform that provides a modern and intuitive user interface. Technicians on Windows devices such as Microsoft Surface tablets will be able to see their bookings manage their work orders and perform inspections with this rich application deeply integrated with the rest of their Dynamics 365 applications.,The Windows Field Service app will be available for the new Power Platform-based mobile app and will include:  Offline support.Outlook-style calendar for bookings with intuitive user interface for quick service tasks completion and more.Tailored user experiences available with Power Apps component framework with hundreds of powerful controls out of the box.Access to device camera to take pictures and scan barcodes.Deep-link support into the Dynamics 365 Field Service mobile app.,CE
Finance and operations,Finance and operations,Finance and operations,,,,,,,,,,,,,Finance and operations
Finance and operations,Finance and operations,Finance and operations,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/,,,,,,,Finance and operations
Dynamics 365 Finance,Dynamics 365 Finance,Dynamics 365 Finance,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/,,,,,,,Finance and operations
Core financials,Core financials,Core financials,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/planned-features,,,,,,,Finance and operations
New vendor invoice management experience,New vendor invoice management experience,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/new-vendor-invoice-management-experience,,,May 2022,-,This feature should significantly reduce the need to enter and process vendor invoices manually. This change largely improves the usability and efficiency of the vendor invoice process.,This new experience will provide a central place where vendor invoices will be created displayed edited deleted and posted. The new feature will merge existing vendor invoice applications into a single comprehensive application. At the same time the feature redefines the user interface to eliminate redundant menus and confusing actions.,Finance and operations
Vendor invoice OCR  advanced configurations for OCR service,Vendor invoice OCR  advanced configurations for OCR service,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/vendor-invoice-ocr--advanced-configurations-ocr-service,,,Jul 2022,-,With configuration settings optical character recognition (OCR) data processing will be flexible enough to fulfill multiple business needs that customers have.,This feature provides a list of configuration settings that include:  Define mandatory invoice data fields: Defines the minimal data required when creating vendor invoices. Microsoft provides a default setting but you can tailor it to your organization's needs by adding or removing fields.Define confidence score of invoice recognition: Defines the quality standard for invoice data to be recognized by AI Builder. When the OCR process is finished the system sends structured invoice data and the corresponding confidence score for each field on the invoice. You can configure the confidence scores to indicate differences in the severity of the detected errors.Define mandatory review needed before invoice creation: Determines whether a manual review is needed for each recognized invoice.,Finance and operations
Vendor invoice OCR  deployment wizard for vendor invoice OCR integration,Vendor invoice OCR  deployment wizard for vendor invoice OCR integration,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/vendor-invoice-ocr--deployment-wizard-vendor-invoice-ocr-integration,,,Jul 2022,-,This feature provides customers with an out-of-the-box optical character recognition (OCR) solution for vendor invoice processing that reduces the labor required for data entry and helps reduce errors that can occur when tasks are completed manually.,To complete the end-to-end solution for vendor invoicing an out-of-the-box solution is necessary for reading vendor invoices. This feature provides a step-by-step guide that lets users deploy the solution easily.,Finance and operations
Vendor invoice OCR  vendor invoice OCR hub,Vendor invoice OCR  vendor invoice OCR hub,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/vendor-invoice-ocr--vendor-invoice-ocr-hub,,,Jul 2022,-,This feature provides customers with a central place to track and process vendor invoice data that was entered through optical character recognition. Most invoice data will be processed automatically. This feature will save accounts payable clerks significant effort while reducing the risk of errors that can arise when completing tasks manually.,The feature provides a central place to let recognized invoice data be validated and preprocessed before being converted to a vendor invoice in Dynamics 365 Finance.  The staging area will accept any accuracy level of recognized data from the AI builderwithout regard to whether or not the invoice data is complete. The data can be enriched and validated automatically according to rules or even machine learning during the import process. Its also possible to review and edit invoices manually from the user interface.,Finance and operations
Vendor invoice OCR  business rules in staging area,Vendor invoice OCR  business rules in staging area,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/vendor-invoice-ocr--business-rules-staging-area,,,Aug 2022,-,This feature gives users more flexibility than they've had previously for validating invoices according to rules that they define and that are optimal for their organizations.,When the system recognizes invoice data that was imported using optical character recognition there's not always enough data to create vendor invoices in Dynamics 365 Finance. Some information must be derived and validated such as the legal entity and vendor account. The derivation and validation can differ significantly from one customer to another. This feature provides a framework that lets each customer define rules that are specific to their organization's needs.,Finance and operations
Enhancements around ledger settlements,Enhancements around ledger settlements,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/enhancements-around-ledger-settlements,,,Feb 2022,Apr 2022,Reports and inquiries will use the settlement date which provides an accurate picture of what is unsettled as of the reporting date. In addition the year-end close and ledger settlement processes will be tightly integrated to ensure that only unsettled transactions are considered during the year-end close providing correct beginning balances per transaction currency. This ensures that settled foreign currency transactions aren't included in the foreign currency revaluation process in the next fiscal year. Details for unsettled ledger transactions can also be maintained during the year-end close process making it easier to settle the ledger in the next fiscal year.,This feature includes the following enhancements:  Year-end close and ledger settlement process:The year-end close will only include unsettled transactions in the beginning balances. In addition an organization can choose to keep transaction details for unsettled transactions for the main accounts identified for ledger settlement. Keeping transaction details allows for easier settlement of beginning balance transactions to transactions posted into the next fiscal year. For more information see Ledger settlementsSettlement can only be performed within a fiscal year to ensure consistency between the beginning balances and unsettled transactions.Settlement can only be performed for transactions posted to the same main account.Reporting and inquiries:The Unsettled transactions report will use the settlement date to determine which transactions are settled as of the To date.The Transactions for page when opened from the Trial balance list page will use the settlement date to determine which transactions to display when choosing the option Show unsettled transactions only.,Finance and operations
New button added to view settlement voucher,New button added to view settlement voucher,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/new-button-added-view-settlement-voucher,,,Feb 2022,Apr 2022,The ability to view all the transactions in a settlement voucher with a single click can significantly increase efficiency when you're viewing or working with settlement history for vendors and/or customers.,A new button named Settlement voucher has been added to the Vendor settlement history and Customer settlement history pages. You can use the button to view all transactions in a settlement voucher in one step. This feature is available by default and can save time when performing reconciliations when you try to view all the transactions in one settlement voucher.,Finance and operations
Post in batch for bill of exchange related journals,Post in batch for bill of exchange related journals,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/post-batch-bill-exchange-related-journals,,,Feb 2022,Apr 2022,This feature lets you run the journal posting process in the background for all bill of exchange journals which in turn lets you continue working on other tasks in the system at the same time.,All bill of exchange journals will now include a new button called Post in batch. The journals that have the new button added include:  Draw bill of exchange.Remittance.Settle bill of exchange.Protest bill of exchange.Redraw bill of exchange.  You can click Post in batch to start batch posting for each of these journals.,Finance and operations
Reverse reconciled advanced bank reconciliation,Reverse reconciled advanced bank reconciliation,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/reverse-reconciled-advanced-bank-reconciliation,,,Feb 2022,Apr 2022,This feature lets you reverse reconciled advanced bank reconciliation in a single step.,When bank reconciliations are reconciled without new transactions or correction amounts this feature enables the reverse reconciliation button on the Bank reconciliation and Bank reconciliation worksheet pages to reverse reconciliations.  If a reconciliation for example reconciliation A has following reconciliations you must reverse and delete the following reconciliations before you can reverse reconciliation A.  Advanced bank reconciliations can't be reversed if new transactions or correction amounts exist in the reconciliation.,Finance and operations
Validate vendor bank account before submitting vendor payment journal to workflow,Validate vendor bank account before submitting vendor payment journal to workflow,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/validate-vendor-bank-account-before-submitting-vendor-payment-journal-workflow,,,Feb 2022,Apr 2022,This feature saves time and frustration among your staff by letting you validate a vendor bank account before submitting a payment journal for that vendor to workflow. When there's an issue with a bank account that's used in a payment journal that has been submitted to workflow the issue will stop the workflow process when the issue is encountered. When that happens a member of your accounts payable staff must correct the issue and then resubmit the payment journal to workflow. Finding and fixing potential errors in advance can save time and help prevent the frustration that can arise.,In earlier versions you could submit a vendor payment journal to the workflow process even if the information for the vendor's bank account was incorrect. This feature lets you identify issues with the vendor's bank account before submitting the payment journal to workflow thereby letting you correct the issue before it surfaces as an error during the workflow process.,Finance and operations
New vendor invoice data entity for OCR integration,New vendor invoice data entity for OCR integration,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/new-vendor-invoice-data-entity-ocr-integration,,,Feb 2022,Apr 2022,Customers are increasingly using an optical character recognition (OCR) solution to import invoices into Dynamics 365 Finance and Operations system. However existing data entities for vendor invoice importing have limitations that include incomplete functionalities data inconsistency and poor performance. The new data entity aims at solving major issues and making it easier to consume invoice data.,To ensure data consistency the new invoice data entity will create vendor invoices as a whole instead of using different data entities to create pieces of information one by one such as headers lines taxes charges and so on.  If possible invoices will be processed automatically during the import phase. That reduces the manual tasks the must be completed by accounts payable clerks to processing invoices with errors or exceptions. New parameters will be created for the new data entity to support process automation when invoices are imported.,Finance and operations
Subscription billing  recurring contract billing,Subscription billing  recurring contract billing,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/subscription-billing-recurring-contract-billing,,,Feb 2022,Apr 2022,Organizations often employ complex pricing and billing practices that can be difficult to manage. This feature allows greater control over billing per item and contract lets you automate and evergreen renewals enables flexible pricing models and improves insight into recurring billing.Flexible billing lets you consolidate invoices which saves you time and lets you provide your customers with a complete and accurate invoice if there are multiple billing schedules.Organizations typically use a variety of methods to invoice their customers. Being able to invoice based on consumption meter readings or usage lets your organization use Dynamics 365 Finance to support your specific business processes. Pricing can be adjusted based on the quantity to be invoiced.,Recurring billing and price management allows greater control with management of pricing and billing parameters at the line-item level. Contracts can be set up to have automated and evergreen renewals. The Monthly recurring revenue report provides insight into recurring billing which can help you forecast more accurately.  You can consolidate invoices by the customer if there are multiple billing schedules. You can also consolidate multiple billing schedule lines into a single billing line.  Flexible pricing is critical to invoicing customers. Invoicing through subscription billing can be based on consumption meter readings or usage. For example consumption can be entered manually or entered through entity import. Meter readings can be entered and used as the beginning reading for the next period. Invoices can be created based on usage with price tiers or pricing adjustments based on quantity to be invoiced.,Finance and operations
Subscription billing  revenue allocation,Subscription billing  revenue allocation,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/subscription-billing-revenue-allocation,,,Feb 2022,Apr 2022,This feature assists with revenue compliance by letting you easily allocate revenue to items within contracts that have multiple performance obligations.,By assigning default and standalone selling prices and methods to items you can calculate the standalone selling price as a percentage of related items. You can allocate revenue based on these standalone prices to maintain compliance with accounting standards.,Finance and operations
Subscription billing  revenue and expense deferrals,Subscription billing  revenue and expense deferrals,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/subscription-billing-revenue-expense-deferrals,,,Feb 2022,Apr 2022,Advanced revenue recognition lets you manage revenue in compliance with ASC 606 and IFRS 15 accounting standards. This feature will enable revenue recognition on document types beyond sales orders allowing greater control of revenue.Managing deferrals at the line-item level puts you in control of the revenue recognition process. Having an automatic process helps reduce mistakes that can creep in through manual processes and saves time.,Advanced revenue recognition lets organizations eliminate manual processes or external systems by allowing users to manage revenue in one system. Real-time reporting provides insights into critical information such as monthly recurring revenue.  Once an item is set up as deferrable the deferral schedule is automatically created when items are added. Templates can be predefined to create different types of deferral schedules such as monthly quarterly or schedules that are based on specified dates. One process allows all current deferral schedules to be recognized quickly.,Finance and operations
Financial tags,Financial tags,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/financial-tags,,,-,Jul 2022,Financial tags let organizations track user-defined fields on accounting entries posted to the general ledger eliminating the need to create financial dimensions that contain values that are not reusable. Additional financial dimensions increase the size of an organization's chart of accounts causing a negative impact on system performance during processes such as the year-end close. The financial tag values can be used for reporting purposes or ledger settlement. For example you can create a financial tag to track payment references used for ledger settlements making it easier to match transactions.,An organization can define up to 15 financial tags which will be stored on accounting entries posted to the general ledger. The financial tag names can be defined by the user giving clarity to data entry clerks about the data expected in each field. Financial tag values are not validated or entered by default. They can be entered manually on transactions such as financial journals or imported through transactional entities.,Finance and operations
General ledger year-end enhancements  specify balance sheet dimensions and year-end close micro-service,General ledger year-end enhancements  specify balance sheet dimensions and year-end close micro-service,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/general-ledger-year-end-enhancements--specify-balance-sheet-dimensions-year-end-close-micro-service,,,-,Jul 2022,This feature comprises a number of enhancements that improve performance during the year-end close process.,The enhancements to the year-end close process include the following:  Allows you to specify balance sheet financial dimensions in detail when you close a year. This functionality now parallels the capability that's available for profit and loss accounts.Improves overall performance so that the year-end close process runs more efficiently.  The following enhancements were added in the July 2021 release:  Moves the setup of the year-end closing templates to a new setup page. The existing year-end close page will change in a way thats similar to the general ledger foreign currency revaluation where a list will indicate each of the times the year-end close has been run or reversed. An accounting manager can initiate the year-end close from the new page.Lets accounting managers reverse a year-end close by selecting the most recent fiscal year and selecting the Reverse year-end close button. The reversal will delete the accounting entries for the previous year-end close but won't rerun the year-end close automatically.Requires voucher numbers when closing a year where this was optional (based on a parameter setting in general ledger) in previous versions.Maintains the history and audit trail of previously closed years by company and year.,Finance and operations
Ledger settlement automation,Ledger settlement automation,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/ledger-settlement-automation,,,-,Aug 2022,This feature saves time and labor costs by using the system to automatically match debit and credit transactions in the general ledger and mark them as settled. Your accounting staff no longer has to mark and settle the related transactions manually allowing them to focus their activities on the areas that have the highest value for your organization.,The ledger settlement process will be enhanced to reduce the number of manual steps through an automated settlement process. The ledger settlement automation process will run as a background process based on rules that you specify. You can define the transaction selection criteria and create matching rules that are based on transaction attributes such as financial tags and amounts. Additionally you can define the frequency of the automated settlement such as daily or monthly. Historical automation process information can be maintained.,Finance and operations
Globalization,Globalization,Globalization,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/planned-features,,,,,,,Finance and operations
Tax audit and reporting service,Tax audit and reporting service,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/tax-audit-reporting-service,,,Sep 2022,-,The service allows you to scale the existing tax audit and reporting content and capabilities of Electronic reporting to the enterprise level. It leverages Microsoft Azure Data Lake Azure Synapse Analytics and other Azure technologies to enhance tax analysis and reporting and enable intelligent tax audit scenarios. The service also provides a low-code experience to build reports on top of the common tax audit and reporting data model leveraging Electronic reporting capabilities integrated as a microservice to Azure Data Lake and Azure Synapse Analytics.,Leveraging our tax audit and reporting experience in 44 countries/regions with several hundred tax data submission formats audit files and reports we have built a common tax audit and reporting data model hosted in an Azure Synapse workspace. While the model will be accessible by using Power BI and Microsoft Excel we are providing a configurable Electronic reporting microservice and several configurable tax audit and other regulatory report templates for multiple countries/regions. These templates are currently available in Dynamics 365 Finance as part of Electronic reporting and will also run in the Tax audit and Reporting service. The microservice provides a low-code experience to build and extend tax audit and regulatory reports on top of this common tax audit and reporting data model.  This first release of the service provides enterprise-level tax validation audit analysis reporting capabilities and enables enterprise-level scalability. Capabilities include:  Ingestion of tax audit reporting data in Finance into Azure Data Lake.Transformation of the data into the tax declaration and Tax audit data models accessible by using Power BI Excel and Electronic reporting.Low-code Electronic reporting capabilities as a microservice integrated with Azure Data Lake and Azure Synapse Analytics.Reusing the existing Electronic reporting formats for Tax audit and Tax declarations in the service. This applies to both formats created by Microsoft as well as by partners and customers. There will be a limited scope of Microsoft formats available in this preview.    Geographic areas  This feature will be released into the following Microsoft Azure geographic areas:  United StatesEuropeUnited KingdomAustraliaCanadaFrance,Finance and operations
Configurable business documents  specific destinations via printer management settings in the reports (phase 2),Configurable business documents  specific destinations via printer management settings in the reports (phase 2),,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/configurable-business-documents-specific-destinations-via-printer-management-settings-reports-phase-2,,,-,Apr 2022,You can use named electronic reporting destinations for all types of business documents that can be generated in Finance by using the Electronic Reporting framework.,Before this feature print management settings were set based on the related electronic reporting destination in a legal entity. The initial feature implementation enables the setup and edit of business document-specific destinations by using the print management user interface in the Electronic Reporting framework. This feature extends this capability to all the remaining configurable reports that were not using it in the initial release.,Finance and operations
Russian fixed assets  integration with Asset Management lifecycle,Russian fixed assets  integration with Asset Management lifecycle,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/russian-fixed-assets-integration-asset-management-lifecycle,,,-,Apr 2022,This integration provides users of the Russian fixed assets module with all the benefits of the Asset Management lifecycle. Benefits include:Improved machine effectiveness with preventive maintenance capabilities that reduce asset failure and extend equipment life expectancy.Condition-based maintenance which reduces asset lifecycle costs.Improved visibility into production performance which helps customers to plan ahead.Insight into downtime with intelligent analytics that helps users make informed data-driven decisions.Automated management of maintenance workflows to limit risks.Efficient spare parts management that ensures a complete overview of item consumption on assets thereby optimizing the maintenance process.Reduced production costs using enhanced visibility of assets across sites and departments.Visibility into real-time asset financial information.Advanced cost control on assets locations faults work hours and work orders.Reduction in maintenance overtime labor and contractor costs.,This functionality enhances the acquire to retire asset lifecycle and end-to-end process flows with the Russian fixed assets module.  By integrating the Asset management and Fixed assets modules you can link Russian fixed assets with maintenance assets. Fixed assets users can then create a maintenance asset from a new or existing fixed asset and Asset Management users can associate a maintenance asset with an existing fixed asset.,Finance and operations
Tax Calculation service  inheriting origin tax information for reversal transactions,Tax Calculation service  inheriting origin tax information for reversal transactions,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/tax-calculation-service-core-tax--inheriting-origin-tax-information-reversal-transactions,,,-,Apr 2022,This feature provides users with the option to inherit tax information such as tax codes rates and amounts from the original transaction or recalculate tax based on the latest tax setup. This feature helps improve reconciliation accuracy in some scenarios.,With this feature reversal transactions can inherit tax information from the original document. Users can also trigger a recalculation to update the tax information on a reversal transaction.  This feature supports the following transactions:  Sales order - Return orderSales order - Credit noteTransfer order - Cancellation  This feature applies to the Tax Calculation service and the core tax engine.,Finance and operations
Electronic reporting  order by function in queries,Electronic reporting  order by function in queries,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/electronic-reporting--order-function-queries,,,Feb 2022,Apr 2022,This feature significantly improves the performance of many electronic reporting configurations that are executed on large volumes of data that require some specific order sorting.,Electronic reporting users can choose querymode to execute the electronic reporting OrderBy function. Selecting this function improves the performance for many electronic reporting configurations that are executed on large volumes of data that require specific order sorting.,Finance and operations
Configurable business documents  business document management workspace integration with global repo,Configurable business documents  business document management workspace integration with global repo,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/configurable-business-documents--business-document-management-workspace-integration-global-repo,,,Feb 2022,Apr 2022,Business users can download new business document templates or new versions of existing business document templates from one workspace.,This feature provides users assigned to a specific role with new business document templates. These templates are stored on a new tab in the Business document management workspace.  When you select to import the business document template the system will open a tab with a list of templates applicable to your assigned user role. Only the list of templates for your assigned role is shown. The system doesn't download all the templates.  After you select the documents and select Create template the selected templates are imported from the global  repository and your templates are created in the Business document management workspace.,Finance and operations
Russian fixed assets  integration with Asset leasing,Russian fixed assets  integration with Asset leasing,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/russian-fixed-assets-integration-asset-leasing,,,-,Jul 2022,Customers using the Russian Fixed assets module may feel more confident that they are following the proper accounting standards and reducing the risk of spending extensive time doing offline calculations. Asset leasing is an advanced capability for managing tracking and automating financial transactions for leased assets in Microsoft Dynamics 365 Finance. Asset leasing complies with International accounting standards (IFRS 16) and US GAAP standards (ASC 842). Asset leasing captures and processes information about the leases and helps generate journal entries throughout the lifecycle of the lease from initial recognition and monthly journal entries to impairment and termination of the lease.,This functionality integrates Asset leasing with the Russian Fixed assets module to enable the following functions:  Automates the complex lease calculation of a leases present value and its subsequent processes such as future lease payments amortization of lease liability and the right-of-use asset depreciation and expenses schedules.Helps automatically classify the lease as either operating or finance or as a short-term or low-value lease. The lease classification tests include Transfer of ownership Purchase option Lease term Present value and Unique asset.Centralizes the management of lease information. This information can include important dates like the commencement and expiration dates and the leases transaction currency payment amounts and payment frequency.Helps generate accounting entries for the initial recognition and subsequent measurement of the lease liability and right-of-use asset.Reduces time for the complex calculation of lease modification and automatic adjustment transactions.Provides posting to different layers to accommodate different reporting purposes such as tax reports that are available in Dynamics 365 Finance.Complies with the accounting standards to represent leases in balance sheets using the Balance sheet impact calculator.Provides audit controls over the integrity of the lease data to ensure that the posted transactions match the calculated amounts of the present value future payments and liability amortization.Provides tools to import from or export to Microsoft Excel for all lease data.Includes features that help prepare asset leasing reports particularly the preparation of disclosures and notes.Integrates with your company chart of accounts currencies fixed assets vendors journals data management and number sequences.,Finance and operations
Tax Calculation service  accepting multiple documents in one API call,Tax Calculation service  accepting multiple documents in one API call,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/tax-calculation-service--accepting-multiple-documents-one-api-call,,,Apr 2022,Sep 2022,This feature enables multiple document tax calculations in one API call to increase the performance of the tax calculation processing for customers with a high volume of invoices in certain industries.,The Tax calculation service can accept multiple taxable documents in one API call to improve the performance of the batch importing scenario.  The new API reduces network latency compared to a single taxable document API call by combing documents in one payload.  Free text invoice will be the first transaction type to integrate with this new mode. We will roll out this mode to other transaction types based on market needs.,Finance and operations
Globalization Studio,Globalization Studio,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-finance/globalization-studio,,,Jun 2022,Sep 2022,Globalization Studio is our low-code tax compliance and globalization platform with out-of-the-box multicountry content that provides tax compliance and globalization as a service. Globalization Studio enhances our low-code tax compliance and globalization capabilities and makes our low-code globalization services and multicountry content available to integrate with any first- and third-party app and extended with prebuilt ISV connectors.,Globalization Studio is an evolution of our low-code Regulatory Configuration Service (RCS) and provides the following enhanced capabilities:  Low-code designer for globalization content including tax rules e-invoice formats regulatory tax audit files and report templates Office 365 templates for business documents and payment formats.Globalization content lifecycle management.Out-of-the-box tax compliance and globalization content for 44 countries/regions and extending to more. This low-code multicountry content can be used as is or easily extended in Globalization Studio by non-developers of customers or partners to meet specific requirements of more countries/regions states/cities or industries/verticals.Configuration and setup for Tax Calculation and Electronic Invoicing microservices and any future globalization microservices.  Additionally Globalization Studio provides globalization as a service to any first- and third-party app and extends with prebuilt ISV connectors. As an integration hub for globalization services the Globalization Studio provides the following types of out-of-the-box connectors:  Connectors to Microsoft globalization services using Microsoft Power Platform and Dataverse to enable sharing globalization capabilities and content with any first- and third-party applications. In the first release we will ship:A Tax Calculation service connector.An Electronic Invoicing service connector.Connectors to ISV tax compliance and globalization solutions extending out-of-the-box tax compliance and globalization content and capabilities. In the first release we will ship:An ISV solution connector that's embedded in the Tax Calculation microservice for US sales tax and use tax rates. You can turn on the connector to get an ISV solution without any customized integration effort.An ISV solution connector that's embedded in the Electronic Invoicing microservice. This connector delivers &quot;last mile business-to-government integrations for some countries extends global coverage by enabling e-invoicing solutions for non-Microsoft localized countries and provides access to E-Invoicing Exchange Frameworks to route electronic invoices created by using Globalization Studio.  Globalization Studio is the only tool to provide all of the low-code configuration and setup experience for any new globalization services including the Tax Audit and Reporting Service that will ship in Public Preview in the 2022 release wave 1 plan.,Finance and operations
Dynamics 365 Supply Chain Management,Dynamics 365 Supply Chain Management,Dynamics 365 Supply Chain Management,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-supply-chain-management/,,,,,,,Finance and operations
Inventory and logistics,Inventory and logistics,Inventory and logistics,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/finance-operations/dynamics365-supply-chain-management/planned-features,,,,,,,Finance and operations
