Product,Category,SubCategory,FeatureType,FeatureTitle,BusinessValue,FeatureDetails,ReleaseWave,PublicPreview,DateAvailable,ImpactLevel,BusinessAndProfessionalServices,FoodAndBeverage,Retail,CPG,Government,FinancialServices,LifeSciences,NonProfit,Gaming,HealthCare,Industrials,RealEstate,Technology
CE,Dynamics 365 Marketing,Analytics and AI,,Create email content easily and efficiently with AI-based content ideas,How great would it be if your email editor could suggest relevant and engaging content? AI-based content ideas do just that. They help you find inspiration and can be used as a starting point when composing an email for your audience. Its like asking a group of colleagues to brainstorm with you. Content ideas make the email creation process simpler more efficient and fun. It's a completely new and innovative functionality with the latest technologies behind the scenes.,AI-based content ideas automatically generate a set of content snippets (based on provided key points) to serve as an inspiration for your email. You'll be able to review select and fine-tune generated content ideas based on your needs.,2021 Wave 2,Oct 2021,-,,,,,,,,,,,,,,
CE,Dynamics 365 Marketing,Analytics and AI,,New email editor with A/B testing,With the revamped email editor we have designed a completely new way to create engaging and relevant content. The improved email editor is optimized for a productive workflow. The email editor includes real-time validation making it easy to produce professional emails with less time and effort. With this release the email editor is further enhanced with A/B testing functionality. The new email editor is automatically enabled for all customers.,Fast and fluid editor with a modern look and feel.More editing space.Flexible layout options allowing you to create emails without compromises.Advanced image manipulation and editing capabilities.Reliable email previews and accurate rendering.  NoteAs part of this release the previous email editor is deprecated.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Marketing,Moments-based,,Connect Customer Insights and your own data lake with customer journey orchestration,Many customers choose to store their Customer Insights data in their own Azure Data Lake Storage.You can now use data stored in Azure Data Lake Storage to build segments specify conditions and personalize messages to build rich real-time journeys while maintaining full control over the underlying data.,Customer journeys can use Customer Insights data such as customer profile and segment information that is stored in Azure Data Lake Storage in the same way you do today with standard Customer Insights connected to Microsoft Dataverse. You can:  Target customers based on real-time event-triggered customer journeys.Deeply personalize your engagement using rich Customer Insights data.Close the feedback loop with customer interactions from Dynamics 365 Marketing customer journeys available in the Customer Insights activity timeline.,2021 Wave 2,Dec 2021,-,,,,,,,,,,,,,,
CE,Dynamics 365 Marketing,Moments-based,,A/B testing in the new outbound marketing email editor,One of the best ways to learn which of several possible email designs will produce the best results is to try each design on a different subset of your audience and then analyze interaction records to see how each design was received. Marketers call this A/B testing. Dynamics 365 Marketing now has this capability built into the new email editor allowing marketers to create an alternative version of a message and test it in a customer journey.,A/B testing in the new outbound marketing email editor allows you to:  Define different types of A/B tests:Header (subject from): Lets you choose a different subject or different &quot;from&quot; name for the B version of your design.Body: Lets you select one or more design elements in the email body and change those elements' settings content or apperance in the B version of the design.Full content: Lets you select a different subject &quot;from&quot; name and one or more design elements in the email body and then change those elements' settings content or apperance in the B version of the design.Preview and test-send version A and version B of your email.Analyze the results of the A/B test in a customer journey and in email insights.  NoteIf you already have added an A/B test into your email using the old editor it will be visible and fully supported in the new editor.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Marketing,Moments-based,,Send SMS messages using Twilio and TeleSign integration,SMS messaging through the Dynamics 365 Marketing mobile channel creates new opportunities to connect with mobile users. The SMS channel enables fast transactional communication and marketing messaging to use as a part of campaigns and customer service communication. We're extending these capabilities by enabling integration with Twilio and TeleSign.,Integration with Twilio and TeleSign happens through a common Omnichannel service shared with Dynamics 365 Customer Service. You can purchase or reuse existing SMS accounts with Twilio or TeleSign and it'll be possible to purchase Azure Communication Services phone numbers in the regions where Azure Communication Services SMS phone numbers are supported. For more information go to Phone number types in Azure Communication Services.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Marketing,Moments-based,,Visualize customer journey interactions on the Customer Insights activity timeline,Create a timeline to visualize all customer activities chronologically by combining customer interactions with Dynamics 365 Marketing customer journeys andother data sourcesin Dynamics 365 Customer Insights. Empower sales serviceand other frontline agents to deeply personalize relationships through knowledge of every customer's engagement history.,When Customer Insights and Dynamics 365 Marketing are connected all marketing interactions (such as message sent opened or clicked) are available as activities in Customer Insights. Admins can add any or all of these interactions into the Customer Insights timeline. You can include this combined timeline in Dynamics 365 apps with the Customer Card add-insolution or in a Power BI dashboard. Marketing interactionscan be viewed alongside other data sources like CRM ERP popular data warehouses POS systemsyour websites and so on.,2021 Wave 2,-,Dec 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Marketing,Moments-based,,Create a webinar registration experience in Teams then design the participants' journey in Marketing with a few clicks,Create webinars and manage participant registrations in Microsoft Teams that are seamlessly connected to Dynamics 365 Marketing. In Dynamics 365 Marketing create rich personalized messages and send automated emails to webinar participants based on registration and attendance triggers and use analytics to optimize results.,Create branded registration pages in Microsoft Teams that are integrated out of the box with Dynamics 365 MarketingManage registrations including approve decline and waitlist functionalityEasily trigger journeys in Dynamics 365 Marketing based on user behaviors in Microsoft Teams,2021 Wave 2,Oct 2021,Dec 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Marketing,Personalization,,Create segments for contacts and leads in the new segmentation builder,To improve marketing return on investment it is important to target the right audience. The new segmentation builder simplifies segment creation no matter how complex the logic. In addition it enables you to build segments on leads without requiring the lead to have a parent contact. You can then market to these leads directly using customer journeys.,Directly create segments based on attribute data for both contacts and leads.Discover and search across all attributes in the right pane and add them to your queries.Preview and estimate the number of segment members as part of your segment creation process.,2021 Wave 2,Nov 2021,-,,,,,,,,,,,,,,
CE,Dynamics 365 Marketing,Personalization,,Deliver rich customer experiences across Dynamics 365 Office and other apps by augmenting customer journeys withPower Automate,Because every business is unique connecting systems and leveraging existing flow is critical. Enable limitless customization and fine-grained control of your customer experience by using Power Automate flows to enhance customer journeys. Power Automate flows can raise events that can trigger a journey or steps within a journey. You can call a Power Automate flow from the journey canvas to connect with proprietary and external business systems. This end-to-end integration allows you to leverage the entire Power Automate ecosystem of connectors and controls to deliver the unique experience your customers demand.,Use Dynamics 365 Marketing as the hub of your automation leveraging first and third-party data sources through Power Automate triggers to react to important customer interactionswith your brand. Then use Power Automate connectors to deliver the best experience with a digital or physical channel.  Invoke a Power Automate flow from any point in the customer journey and access the rich ecosystem of actions and triggers from proprietary and external business systems as well as actions from hundreds of apps. For instance from a customer journey that seeks feedback with a survey update your team via a Teams channel in real-time as feedback comes in.Trigger a customer journey from a Power Automate flow. For instancewhen a back-ordered item is back in stocktrigger a marketing campaign for customers who previously attempted to buy the item.,2021 Wave 2,Nov 2021,-,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Seller KPIs and manager dashboards to encourage productivity,Keeps sales organizations up to date on important KPIs and enables sellers to be more data-driven with their decision making.,Manager dashboard: Allow managers to view their team's performance and coach and guide sellers:  Number of active leads in the org versus previous periods.The conversion ratio between leads and opportunity.Leads by sources types.Leads per sellers.  Real-time seller KPIs: The ability for organizations to define key performance indicators for sellers and allow them to see progress in real time:  Number of qualified leads.Number of calls.Number of meetings.Estimated value.    NoteThis feature is available in Unified Interface only.This functionality might require a separate add-in license. See Dynamics 365 Sales pricing to compare plans.,2021 Wave 2,Dec 2021,-,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Advanced filtering and sorting,Sellers manage numerous customers and activities. To quickly finish a task at hand sellers at times focus on executing the tasks without properly prioritizing them and end up concentrating on activities that have a lower impact on business outcomes. This functionality will help sellers to focus on the right customers and spend time more efficiently by engaging with the highest priority customers rather than searching the information.,This functionality will enable sellers to filter information based on standard as well as custom fields. The functionality can be enabled from the settings where a sales engagement manager (SEM) can define filters relevant for business scenarios. A SEM would be able to extend the current filter based on standard custom and a combination of fields.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Sequence management and connected screen enhancement,Sales enablement managers (SEMs) and sales managers need to define the customer engagement best practices and outreach strategies that can scale to an organizations needs increase sales growth and optimize sales team productivity. These features will enable SEMs to easily maintain sequences and track progress.,Sequence Management: An enhanced UI that allows users to easily filter create default views and manage sequences. Advanced grid that allows users to perform field level filters and mass actions.  Tagging: Over a period of time the number of sequences in the system can increase multifold. This feature would help the SEMs to easily maintain of these sequences. This will help SEMs to:  Check if a relevant sequence exists before creating a new one.Group similar sequences together.Look at a list of sequences relevant to a business unit or scenario.Remove all the irrelevant sequences from the view.    NoteThis feature is available in Unified Interface only.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Show sequence details in grid,This enhanced experience will allow sales enablement managers (SEMs) to easily manage the sequences and have a quick view of the status of attached entities.,The connected tab within the sequence is enhanced with more details that allow SEMs to work efficiently. Also you can see details of the status of each connected entity and get a view of which entities are connected through segments.    NoteThis feature is available in Unified Interface only.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Worklist ownership enhancement,This functionality will enable each to user stay on top of his or her activities and would declutter the entity owner's worklist. For example if the opportunity is owned by a seller and the product expert has to prepare for the demo. Product experts will see the demo preparation activity and would be able to perform it from within the Sales Accelerator feature.,Worklists will be populated based on activity ownership instead of entity ownership. This will allow a seller who is responsible to finish the task to stay on top of the activity and would also declutter the entity owner's worklist.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Worklist and workspace improvement,Boost sales productivity with an intelligent worklist. Get suggestive actions and stay on top of your to-do list. Focus on the right leads with the prioritized pipeline automated outreach recommendations and simple integrated engagement channels.This functionality will help organizations reduce lead qualification time. It will improve productivity and work satisfaction. This will also help sellers focus on the key task at hand while similar tasks can be bundled and completed in one click.,The worklist user interface is being enhanced to make it more usable and improve the seller's productivity. The filtering and sorting capabilities will also be enhanced.Going forward the visibility of items in the worklist will depend on ownership of the activity not just on ownership of the entity.    See also    Prioritize your sales pipeline by using the work list (docs),2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Template sequences,Template sequences can help customers to accelerate their sales accelerator implementation. These sequences are defined based on industry best practices and can help you define a consistent approach to connect with your customers.Key business benefits:Ready-to-use and preconfigured sequencesBased on industry best practices and proven business processesFaster and easier implementationProvide guidance on usage of various branching and other sequence capabilities,Multiple best practice templates would be made available as part of the product that can be easily copied and customized for your business needs. These template sequences will also showcase how sequence branching and other features can be utilized efficiently.,2021 Wave 2,-,Dec 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Smart sequence - LinkedIn integration,LinkedIn integration with sales accelerator will allow you to bring your most important social selling functions directly into your sequences. You can leverage LinkedIn's vast network and recommend the next best action to your sellers.,This feature allows users to perform the following LinkedIn actions within sales accelerator:  InMailConnect requestIntroduction    NoteThis feature is available in Unified Interface only.,2021 Wave 2,-,Dec 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Transport sequence between systems,This functionality will ease the deployment of the sales accelerator solution. Administrators will be able to easily move finalized sequences to test environments.,This feature allows sequences to be transported between systems. For example if you create a sequence in a development environment you can move it to quality assurance (QA) and production environments.,2021 Wave 2,-,Dec 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Worklist card enhancement,The intent is to help sales development representatives (SDRs) business development representatives (BDRs) and account managers to perform their activities efficiently and maximize the business impact. To do so the system should help these users to quickly identify which customer to contact; having more information on the card will enable users to quickly make those decisions.,SDRs BDRs and account managers have different focuses and need ways to be able to quickly identify which customer to contact to maximize the business impact.  Worklist cards will be enhanced to have more relevant information for each scenario. For example an opportunity will have information on title a contact will have information on role and an account will have information on open opportunity. This would allow users to make decisions by looking at a worklist card.,2021 Wave 2,-,Dec 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Improving leads quality with data hygiene,Sellers today often lose time engaging with the wrong leads struggling with a busy pipeline with irrelevant records and unable to find the customers that are more likely to close. Ensuring that only quality leads are being assigned to sellers with accurate data that enables personalized interactions will save sellers valuable time and allow them to close more business opportunities.,Automated process based on AI engine to achieve the following:  Detection mechanism:Duplicates detection.False or invalid leads detection.Detection of leads-related records (including account or contact resolution).Detection of leads' additional available data.Enable automated actions upon detection of any of the above:Update close or delete a lead.Merge two (or more) leads.Notify user about detection (seller or admin).Configuration: User ability to choose and define a leads characteristics for detection and type of actions as a result.User-based decision or resolution interaction (advanced merge and advanced enrichment capability).,2021 Wave 2,Nov 2021,Jan 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Accelerator workspace,,Lead routing,Responding quickly to incoming leads can make or break a deal particularly in highly competitive markets. The more mature a business gets and the more complex the prospective customers needs are the more challenging it is to maintain that speedy response and personalized touch.Quickly growing businesses require more sophisticated automation to ensure operational efficiency proper distribution of leads among their sales team and to make sure no leads slip through the cracks. The functionality will provide the following business benefits:Maximize operational efficiencyImprove lead qualification timeImprove sellers productivityTimely lead assignmentImprove lead conversion ratio,This feature covers following functionalities:  Define rules for automatic assignment. The following components are included:Segments: This is a group of leads that can be assigned to the rule.Lead attribute: Lead attributes that need to be considered should be maintained here.Seller attribute: The attributes and skills of the sellers that need to be evaluated for lead distribution should be mentioned in the rule.Distribution method: Lead can be distributed either through round robin or load balancing methods.Ability to define seller attributes and assign to the seller: Seller attributes can be specifically defined for lead routing.Create segment for the assignment rules.Maintain sales team and capacity. The user can maintain the sellers who would receive the leads. The capacity of the sellers can also be used which would be taken into consideration when distributing the leads.,2021 Wave 2,-,Jan 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Collaboration using Microsoft Teams,,Add activities or notes to a Dynamics 365 record from the context of a Microsoft Teams message,Quickly save decisions notes and other key sales events to Dynamics 365 without having to context switch out of Teams.,Add a note or task to a record's timeline from the context of a Microsoft Teams message in a chat or channel.Support customized forms and business rules specific to an organization.Ensure only those with required security permissions have write access.,2021 Wave 2,Nov 2021,-,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Collaboration using Microsoft Teams,,Edit a Dynamics 365 record within a Microsoft Teams conversation,This feature enables quick editing of Dynamics 365 records from a form within a Microsoft Teams conversation and works from the perspective of the Dynamics 365 user or the recipient.Allow users to quickly edit a record from a Microsoft Teams conversation to ensure the information is up to date before sending it to teammates customers and other stakeholders.Send a quickly accessible form to your conversation participants so they can make rapid updates to a record ensuring that you have the most up-to-date information.,Conversation participants can quickly update or edit a record from within a Microsoft Teams conversation.Conversation participants can change the state of a record from within a Microsoft Teams conversation.Support customized forms and business rules specific to an organization.Ensure only those with required security permissions have write access.,2021 Wave 2,Nov 2021,-,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Collaboration using Microsoft Teams,,Share Dynamics 365 records in a Microsoft Teams message,Users want to surface the customer engagement records in the context of Microsoft Teams conversations. They need a wayto search and share Dynamics 365 records directly in the message. Current collaboration features allow Dynamics 365 records to be pinned to Microsoft Teams channels. However that is the beginning and end of contextualization. To leverage data throughout the conversation this feature would allow users to search for information in Dynamics 365 share with other participants in their chats or channels and even allow them to perform tasks from within the conversation.,Send a quick summary of a record in a Microsoft Teams chat or channel as an interactable card.Search for Dynamics 365 records organized by relevance.Search for and filter Dynamics 365 records to share with your conversation participants.Allow conversation participants to add an activity or note to a record through interactable cards.Ensure only those with proper security permissions can view details of the record.,2021 Wave 2,Nov 2021,-,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Collaboration using Microsoft Teams,,Drive seller productivity with Teams meeting integration,Sellers have meetings all day throughout the week and are asking for a more integrated experience to create and join Microsoft Teams meetings directly from Dynamics 365. Additionally while conducting meetings sellers want to be able to keep their sales records up to date more seamlessly. By having direct access to these records as well as streamlined note-taking capabilities during a Teams meeting sellers can save time be more productive and drive more revenue while providing organizations with far better data. Finally premium conversation intelligence enables sellers to conduct more valuable meaningful customer conversations.,As a seller you can:  Create a Teams meeting when scheduling an appointment from Dynamics 365.Join Teams meetings in a single click from Dynamics 365.Access and update sales records seamlessly during a Teams meeting.Capture notes seamlessly during a Teams meeting and have these notes automatically sync back to records in Dynamics 365.Leverage premium conversation intelligence for real-time call analysis and insights during a Teams meeting.,2021 Wave 2,Jan 2022,-,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Collaboration using Microsoft Teams,,Send automated chat notifications from Dynamics 365 to Teams,As a sales organization you can:Shorten sales cycles by ensuring sellers are kept abreast of key sales activity changes as they happen.Increase team collaboration efficiency by enabling sellers to view and update sales data from within Microsoft Teams.,The following capabilities are available to sellers and managers:  Use @mentions in the timeline of a record and be assured that the user will be notified automatically in their Teams chat through the Dynamics 365 Sales bot.Get notifications of AI-driven insights from Dynamics 365 Sales assistant; automatically push updates of insights configured in Dynamics 365 Sales Assistant Studio keyfor example email follow-up alerts.Get Teams chat notifications for the records youre following; use the follow/unfollow feature in Dynamics 365 to get automatic notifications about the updates to sales records.Configure the notifications that you want to receive within Teams where and at what frequency.,2021 Wave 2,Feb 2022,-,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Collaboration using Microsoft Teams,,Embedded Teams collaboration is generally available,Increase efficiency by leveraging the structure of CRM data to organize your sales collaboration activities.Accelerate deal velocity by connecting sellers with key stakeholders and information.Reduce app switching and stay in context.,Integrated Microsoft Teams chat capabilities: Native Microsoft Teams chat client featuring rich text editor file attachments emojis GIFs delivery options edit/delete messages like/heart posts and so on.Contextual chat and channel list: Enable linking of chats to sales entities (channel linking available today). Chat list changes context based on Dynamics 365 context.People discovery: Leverage the intelligence of CRM to recommend internal stakeholders and external contacts with whom to collaborate.,2021 Wave 2,Sep 2021,Jan 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Collaboration using Microsoft Teams,,Engage in contextual collaboration on Teams,The embedded Microsoft Teams collaboration solution that launched to preview in 2021 release wave 1 provides a contextual collaboration experience for users needing to interact with colleagues directly from within Dynamics 365. With this feature you get increased context-driven features such as the ability to automatically inject CRM context directly within the message.As a seller you can be more efficient and productive in Teams with the latest updates to the embedded collaboration experience in Dynamics 365.,This feature has the following capabilities for sellers:  Inject record context into messages.Render an adaptive card to message participants that allows for a record to be viewed and edited within Teams.Launch a Teams chat window from user names within a record in a single click.,2021 Wave 2,Sep 2021,Jan 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Collaboration using Microsoft Teams,,Enhancements to Suggested Contacts system for embedded Teams collaboration,As a seller you can use the suggested contacts in the embedded Microsoft Teams collaboration experience to discover valuable contacts that are contextually relevant to the record youre working on. Extending on the initial suggestion engine released in 2021 release wave 1 enhancements will provide additional configuration of data inputs that power the relevancy engine for chat and contact suggestions.Using the contextually relevant suggestions you can be more productive by reducing context switching and getting what you need in the current workspace that you're in.,As a seller you get more appropriate contact suggestions based on the app or entity that youre in.  As an administrator you can:  Get more control over the contact suggestions.Customize suggestions per Dynamics 365 app.Customize suggestions per entity.Customize suggestions based on custom fields.,2021 Wave 2,Oct 2021,Jan 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Engagement platform and productivity intelligence,,Seamless experience with Teams Outlook 3P calling,Gain business-critical insights on top of any customer interaction. In addition make calls receive calls and send emails seamlessly from Dynamics 365 Sales.,Microsoft Teams calling and meetings from Dynamics 365.Real-time analytics and action items.Connectivity to Dynamics 365 entities.Third-party telephony system (3P) calling in Dynamics 365.Incoming calls in Dynamics 365.Embedded Microsoft Teams meetings.Seller-side-only recording.,2021 Wave 2,Feb 2022,Mar 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Forecasting and pipeline analytics,,Filter users from forecast hierarchy,Complex organizations are supported by employees in a variety of roles. While these roles may be essential for the success of the business not all of them are opportunity owning or need to forecast future sales revenue.As an administrator you can filter user records from the forecast hierarchy. This will allow sellers and managers to view only the user records that are of interest for the sales forecasting process decluttering the forecast grid.,The following capability is available in this feature: Filter user records from forecast hierarchy.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Forecasting and pipeline analytics,,Share and delegate access to forecasts,During a forecast cycle sales leaders must be able to include some of their colleagues in the forecast process. As a sales manager you'll be able to share your forecast with any other Dynamics 365 user. Youll also be able to view a forecast as one of your directs for those times when you need to share the screen.,The following capabilities are available as part of this feature:  Administrators can delegate access to forecast records to any other Dynamics 365 user.Managers can provide access to and remove access from their forecast for any other Dynamics 365 user.Managers can view the forecast as one of their directs.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Forecasting and pipeline analytics,,Improve predictive scoring by enabling intelligent field augmentation,Organizations collect a vast amount of CRM data as part of their regular course of business. This data becomes a powerful source of insight when used to train an AI predictive scoring model. Certain attributes may have key values that when recognized by the model can further its efficacy and exclude confounding data points.Using field augmentation you can identify the fields and key values for training the AI model.Field augmentation could include:Whether a customer is new or returning.Whether an email is legitimate or fake.Recent activity.Phone number length.Private or public email domain.Contact ID.,As an administrator you can select an attribute as an augmented field from the edit fields page.    See also    Select intelligent fields (docs),2021 Wave 2,Aug 2021,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Forecasting and pipeline analytics,,Expand visibility of your forecast with annual view and weekly and yearly periods,As sales operations deploy their forecast process across their sales organizations it's important to ensure that sellers can view the data in a way that makes the most sense to them.As a seller you'll be able to get an annual or year-to-date view of the forecast at period lengths that are relevant to your organization. Your administrator can configure forecasts spanning weekly or yearly periods.,As a seller you can:  Get an annual or year-to-date view of the forecast.Visualize period-over-period progress.View forecasts for weekly and yearly periods.  As an administrator you can configure forecasts with weekly and yearly periods.,2021 Wave 2,-,Jan 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Forecasting and pipeline analytics,,Quota inline editing and rollups,When planning for a coming sales period organizations may need to access various disparate sources for quota information. Often sellers are responsible for inputting their own quota information into a forecasting system. By providing the ability to edit simple columns in line such as the quota column organizations will now be able to allow team members that have access to the most current information to update the forecast.In addition forecasting will now support the ability to roll up a simple column from child to parent node. This is useful in the case that a manager's quota needs to remain current as sellers may move from team to team and take their quota with them. This capability extends beyond quota information and allows for the insertion of a simple column within the forecast that can be edited by sellers to keep track of a variety of values.,The following capability is now available:  quota inline editing and rollups,2021 Wave 2,-,Jan 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Mobile,,Come prepared to customer engagements,Sellers are constantly engaging with their customers often intensively with little time to prepare in advance. Getting the needed information about the customer and the relevant deal can be the difference between winning and losing and doing that with less effort can give you a much higher chance of success.,Smart lookup that helps to quickly connect the meeting to a relevant record.Organized meeting cards that streamline the data from the Dynamics 365 appointment on top of the Exchange data.LinkedIn information for contacts.Relationship insights for contacts.,2021 Wave 2,Dec 2021,Mar 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Mobile,,Find interact and create CRM information easily,CRM systems shouldnt be rigid databases that are painful to interact with from mobile devices. When sellers can naturally interact with customer information find relevant data quickly and take follow-up actions promptly they gain more for the sales organization and sell more successfully.,Notifications center support.View or add Dynamics 365 appointments within the agenda experience.Show activities in a record's form.Active records smart list.View or add contacts from phonebook.View or add contacts from Outlook.Bottom-bar alignment across the application.,2021 Wave 2,Dec 2021,Mar 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Mobile,,Log and share information effortlessly,The value of a CRM system is critically dependent on what information sellers are logging into it. The less effort the logging and sharing of actions take the more likely the actions will happen and the more valuable the CRM system will become. This added value attracts sellers to repeatedly visit consume respond and log more information.,Activity summary support.Scan business cards support in a lightweight create-a-contact form.Scan handwritten notes.Contextual-sensitive create-a-record experience.Suggested action items when filling in notes.In-house voice notes.,2021 Wave 2,Dec 2021,Mar 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Mobile,,Never miss a detail in your customer engagements,Sellers can conduct hundreds of weekly customer engagementsoften from their mobile phone. Each engagement has implicit and explicit information some of which can be easy to overlook especially if the deal is new the seller is new at their job the sellers attention is on multiple items while speaking or the situation doesnt allow for taking notes.,Create an activity record after a phone call.Create activity records from recent calls.Automatic transcription for Microsoft Teams calls and online meetings.Conversation insights and action item extractions.,2021 Wave 2,Jan 2022,Mar 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Relationship intelligence,,Account-based contact discovery with Who knows whom,Institutional contact information captured through emails and meetings in Outlook are directly brought to CRM allowing sales organizations to instantly discover new contacts and expand their networks.Personas:Account executives who manage connections within an account and want to identify new contacts and build up their relationships within the account.Sellers working on a deal and looking for potential stakeholders who may not already be stored as contacts inside CRM.,Leverage an organization's exchange data to find new contacts while working inside Dynamics 365.Discover contacts while working on new leads and accounts.Find and add new connections in existing accounts that weren't captured to CRM.See who in your sales organization is best connected to a contact.Request introduction to the contact and be notified of initial contact.,2021 Wave 2,Jan 2022,-,,,,,,,,,,,,,,
CE,Dynamics 365 Sales,Relationship intelligence,,Include custom activities in relationship analytics,Organizations can now analyze how custom activities impact their engagement KPIs by giving a holistic view of their team's communication status with the target accounts and contacts.Personas:Sales managers reviewing the status of an engagement with an account opportunity lead and contact.Sellers who want to track their communications with their customers.,As an administrator you can:  Pick which activities should be part of relationship analytics charts.Pick custom activities to be included in relationship analytics charts.Customize default time taken for each activity to allow for accurate computation of engagement KPIs.    NoteThis feature is available in Unified Interface only.,2021 Wave 2,-,Dec 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Customer Service,Agent experiences,,Agent workspace inbox view,As organizations adopt Omnichannel for Customer Service and deploy additional channels through which customers can initiate support requests the need is growing for the agent experience to be better optimized for long-lived conversations with customers. The inbox view in the agent workspace is designed to address the needs to quickly triage requests and allow the agents to focus on the customer and their issue by using customized views filters and sort capabilities across all channels of contact.,The inbox view is integrated into the Customer Service workspace and Omnichannel Engagement Hub and allows agents to effectively navigate their emails or conversations and address their customers' issues in a timely manner while using the core productivity features of their agent desktop such as timeline recent cases AI-based suggestions and knowledge search.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Customer Service,Agent experiences,,Usability improvements for agent workspaces,Customer Service workspace and Omnichannel for Customer Service are multisession apps that allow customer service agents to multitask on several customer cases simultaneously and switch among issues seamlessly without losing context of the in-progress work. The usability improvements in these apps in this release will help agents be more productive.,The enhancements in the Customer Service workspace and Omnichannel for Customer Service apps include the following:  Simplified navigation that currently needs to be enabled by administrators will be available by default. More information: Simplify navigation in Customer Service workspaceMigration of productivity tools to the new extensible app side pane. For more information go to Model driven apps support multiple app side panes  Also the command buttons in the Case form have been reordered for a better user experience.    See also    Use simplified navigation (docs),2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
CE,Dynamics 365 Customer Service,Agent productivity,,Increase agent productivity with contextual collaboration using embedded Microsoft Teams,Agents who use Dynamics 365 Customer Service can easily collaborate with anyone within their organization such as agents from other departments supervisors customer service peers or support experts over Microsoft Teams to resolve customer issues without leaving the case or conversation. Chats over Teams will be linked directly to Customer Service records enabling a contextual experience.,Some of the key capabilities of this feature are as follows:  Ability to chat with contacts from within Dynamics 365.Access to key Customer Service contacts such as supervisors queue members and support experts.Access to AI-driven suggestions of agents who resolved similar cases.Access to recent Microsoft Teams chat lists.Ability to link and unlink chats to case records.Access to linked Microsoft Teams chats.Message avatar and presence where users can easily see profile pictures of a chat participant and their availability (presence).,2021 Wave 2,Oct 2021,Jan 2022,,,,,,,,,,,,,,
CE,Dynamics 365 Customer Service,Case management,,Modern control for subject entity,Dynamics 365 Customer Service includes a subject organizational structure that lets you mark and categorize service cases knowledge base articles and products. With this feature we're introducing a new user experience that will make it easier to view and search the subject tree hierarchy.,The new subject control will be available by default for out-of-the box forms and will provide the following capabilities:  Easy-to-view subject tree hierarchyAbility to search across parent subjects and child nodes  Highlight search results    See also    Enable search control for subjects in custom forms (docs),2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
