NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult,PublicPreview,GeneralAvailability,BusinessValue,FeatureDetails,HeaderDetails,ParentNodeName
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html#subsect_69095155779,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html#subsect_164601514884,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html#subsect_163646126335,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html#subsect_164276151423,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html#subsect_164422210051,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html#subsect_83135246597,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html#subsect_163828345807,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html#subsect_165391041793,,,,,,,,FS
NetSuite Â· Account Setup and Maintenance,NetSuite Â· Account Setup and Maintenance,NetSuite Â· Account Setup and Maintenance,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/chapter_N3944673.html,,,,,,,,FS
Account Setup and Maintenance,Account Setup and Maintenance,Account Setup and Maintenance,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_158921855128.html,,,,,,,,FS
Account Setup and Maintenance Testing,Account Setup and Maintenance Testing,Account Setup and Maintenance Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/#subsect_163734899728,,,,,,,,FS
NetSuite Upgrade Using Customer-Scheduled Maintenance,NetSuite Upgrade Using Customer-Scheduled Maintenance,NetSuite Upgrade Using Customer-Scheduled Maintenance,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/,,,,,,,,FS
Account Setup and Maintenance Testing,Account Setup and Maintenance Testing,Account Setup and Maintenance Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1508778599.html#subsect_163697844703,,,,,,,,FS
Record Pages Monitor Updates,Record Pages Monitor Updates,Record Pages Monitor Updates,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1508778599.html,,,,,,,,FS
Record Pages Monitor Updates,Record Pages Monitor Updates,Record Pages Monitor Updates          Application Performance Management (APM) version 2.1.0 includes the following updates to the Record Pages Monitor tool:                                    Filtering and sorting options - Prior to this release Record Pages Monitor filters the record operation tiles to show only the 10 most utilized record operations that ran in your account. You can then sort this prefiltered list according to a defined set of options.              With APM version 2.1.0 Record Operations Monitor still shows the top 10 most utilized record operations by default but it now also lets you filter according to the most used or most responsive record operations that ran in your account. As with previous releases you can also filter data according to a predefined duration or a custom date and time.              After applying the filters you may also sort the resulting tiles in alphabetical order according to their record type or operation.                                      Response time value display - Prior to this release Record Pages Monitor shows the median response times on tiles and exported CSV files. The Response Time chart displays baselines only for the 95th percentile and median values.              With APM version 2.1.0 Record Pages Monitor now shows the average response times on tiles and exported CSV files. A baseline for the average response time value is also added to the Response Time chart.                                To view the changes go to Customization &gt; Performance &gt; Record Pages Monitor.          For more information about these updates see Monitoring Record Pages,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1508778599.html,,,,,,,Record Pages Monitor Updates          Application Performance Management (APM) version 2.1.0 includes the following updates to the Record Pages Monitor tool:                                    Filtering and sorting options - Prior to this release Record Pages Monitor filters the record operation tiles to show only the 10 most utilized record operations that ran in your account. You can then sort this prefiltered list according to a defined set of options.              With APM version 2.1.0 Record Operations Monitor still shows the top 10 most utilized record operations by default but it now also lets you filter according to the most used or most responsive record operations that ran in your account. As with previous releases you can also filter data according to a predefined duration or a custom date and time.              After applying the filters you may also sort the resulting tiles in alphabetical order according to their record type or operation.                                      Response time value display - Prior to this release Record Pages Monitor shows the median response times on tiles and exported CSV files. The Response Time chart displays baselines only for the 95th percentile and median values.              With APM version 2.1.0 Record Pages Monitor now shows the average response times on tiles and exported CSV files. A baseline for the average response time value is also added to the Response Time chart.                                To view the changes go to Customization &gt; Performance &gt; Record Pages Monitor.          For more information about these updates see Monitoring Record Pages,FS
NetSuite Â· Authentication,NetSuite Â· Authentication,NetSuite Â· Authentication,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/chapter_N3944673.html,,,,,,,,FS
Authentication,Authentication,Authentication,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_158921905537.html,,,,,,,,FS
Authentication Testing,Authentication Testing,Authentication Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4635758034.html,,,,,,,,FS
Example OAuth Header,Example OAuth Header,Example OAuth Header,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4635758034.html,,,,,,,,FS
Authentication Testing,Authentication Testing,Authentication Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1534941295.html,,,,,,,,FS
The Authorization Headers,The Authorization Headers,The Authorization Headers,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1534941295.html,,,,,,,,FS
Create the Authorization Header,Create the Authorization Header,Create the Authorization Header          To create the authorization header place the correct parameter in the right place.                      Note:             For RESTlets each parameter must be rawurlencoded.                    See the following sections:                                                    SOAP Web Services Header                                                                    RESTlet Header                                                          SOAP Web Services Header                          $passport = " &lt;ns:tokenPassport soap:actor=\"http://schemas.xmlsoap.org/soap/actor/next\" soap:mustUnderstand=\"0\" xmlns:ns=\"urn:messages_2015_2.platform.webservices.netsuite.com\"&gt;\n"  ." &lt;ns:account&gt;".$realm ."&lt;/ns:account&gt;\n"  ." &lt;ns:consumerKey&gt;".$consumerKey ."&lt;/ns:consumerKey&gt;\n"  ." &lt;ns:token&gt;". $tokenKey ."&lt;/ns:token&gt;\n"  ." &lt;ns:nonce&gt;". $nonce ."&lt;/ns:nonce&gt;\n"  ." &lt;ns:timestamp&gt;". $timestamp ."&lt;/ns:timestamp&gt;\n"  ." &lt;ns:signature algorithm=\"". $signatureMethod ."\"&gt;". $signature .":&lt;/ns:signature&gt;\n"  ." &lt;/ns:tokenPassport&gt;";                                       SOAP Web Services Token Passport Example                              &lt;ns:tokenPassport soap:actor="http://schemas.xmlsoap.org/soap/actor/next soap:mustUnderstand="0" xmlns:ns="urn:messages_2015_2.platform.webservices.netsuite.com"  &lt;ns:account&gt;123456&lt;/ns:account&gt;  &lt;ns:consumerKey&gt;f40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4&lt;/ns:consumerKey&gt;  &lt;ns:token&gt;2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc&lt;/ns:token&gt;  &lt;ns:nonce&gt;fjaLirsIcCGVZWzBX0pg&lt;/ns:nonce&gt;  &lt;ns:timestamp&gt;1508242306&lt;/ns:timestamp&gt;  &lt;ns:signature algorithm="HMAC-SHA256"&gt;76wQrUWF8i3BwfAjrNnTxjFo+Ixj9YzYgsj+HVeGQyY=&lt;/ns:signature&gt;&lt;/ns:tokenPassport&gt;                                                           RESTlet Header                          $header = 'Authorization: OAuth '         .'realm="' .rawurlencode($realm) .'" '         .'oauth_consumer_key="' .rawurlencode($consumerKey) .'" '         .'oauth_token="' .rawurlencode($tokenKey) .'" '         .'oauth_nonce="' .rawurlencode($nonce) .'" '         .'oauth_timestamp="' .rawurlencode($timestamp) .'" '         .'oauth_signature_method="' .rawurlencode($signatureMethod) .'" '         .'oauth_version="' .rawurlencode($version) .'" '         .'oauth_signature="' .rawurlencode($signature) .'"'                                       RESTlet Header Example                              Authorization: OAuth realm="123456" oauth_consumer_key="ef40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4" oauth_token="2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc" oauth_nonce="fjaLirsIcCGVZWzBX0pg" oauth_timestamp="1508242306" oauth_signature_method="HMAC-SHA256" oauth_version="1.0" oauth_signature="7mpNx1RdQn4VLSyeEwCK7jFBjGQ0blzwDSMU9Kg5Rmg%3D"                                                           REST Web Services Header                          $header = 'Authorization: OAuth '         .'realm="' .rawurlencode($realm) .'" '         .'oauth_token="' .rawurlencode($tokenKey) .'" '         .'oauth_consumer_key="' .rawurlencode($consumerKey) .'" '         .'oauth_nonce="' .rawurlencode($nonce) .'" '         .'oauth_timestamp="' .rawurlencode($timestamp) .'" '         .'oauth_signature_method="' .rawurlencode($signatureMethod) .'" '         .'oauth_version="' .rawurlencode($version) .'" '         .'oauth_signature="' .rawurlencode($signature) .'"'                                             REST Web Services Header Example                          Authorization: OAuth realm="123456" oauth_token="2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc" oauth_consumer_key="ef40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4" oauth_nonce="fjaLirsIcCGVZWzBX0pg" oauth_timestamp="1508242306" oauth_signature_method="HMAC-SHA256" oauth_version="1.0" oauth_signature="B5OIWznZ2YP0OB7VrJrGkYsTh%2B8H%2B5T9Hag%2Bo92q0zY%3D",,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1534941295.html,,,,,,,Create the Authorization Header          To create the authorization header place the correct parameter in the right place.                      Note:             For RESTlets each parameter must be rawurlencoded.                    See the following sections:                                                    SOAP Web Services Header                                                                    RESTlet Header                                                          SOAP Web Services Header                          $passport = " &lt;ns:tokenPassport soap:actor=\"http://schemas.xmlsoap.org/soap/actor/next\" soap:mustUnderstand=\"0\" xmlns:ns=\"urn:messages_2015_2.platform.webservices.netsuite.com\"&gt;\n"  ." &lt;ns:account&gt;".$realm ."&lt;/ns:account&gt;\n"  ." &lt;ns:consumerKey&gt;".$consumerKey ."&lt;/ns:consumerKey&gt;\n"  ." &lt;ns:token&gt;". $tokenKey ."&lt;/ns:token&gt;\n"  ." &lt;ns:nonce&gt;". $nonce ."&lt;/ns:nonce&gt;\n"  ." &lt;ns:timestamp&gt;". $timestamp ."&lt;/ns:timestamp&gt;\n"  ." &lt;ns:signature algorithm=\"". $signatureMethod ."\"&gt;". $signature .":&lt;/ns:signature&gt;\n"  ." &lt;/ns:tokenPassport&gt;";                                       SOAP Web Services Token Passport Example                              &lt;ns:tokenPassport soap:actor="http://schemas.xmlsoap.org/soap/actor/next soap:mustUnderstand="0" xmlns:ns="urn:messages_2015_2.platform.webservices.netsuite.com"  &lt;ns:account&gt;123456&lt;/ns:account&gt;  &lt;ns:consumerKey&gt;f40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4&lt;/ns:consumerKey&gt;  &lt;ns:token&gt;2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc&lt;/ns:token&gt;  &lt;ns:nonce&gt;fjaLirsIcCGVZWzBX0pg&lt;/ns:nonce&gt;  &lt;ns:timestamp&gt;1508242306&lt;/ns:timestamp&gt;  &lt;ns:signature algorithm="HMAC-SHA256"&gt;76wQrUWF8i3BwfAjrNnTxjFo+Ixj9YzYgsj+HVeGQyY=&lt;/ns:signature&gt;&lt;/ns:tokenPassport&gt;                                                           RESTlet Header                          $header = 'Authorization: OAuth '         .'realm="' .rawurlencode($realm) .'" '         .'oauth_consumer_key="' .rawurlencode($consumerKey) .'" '         .'oauth_token="' .rawurlencode($tokenKey) .'" '         .'oauth_nonce="' .rawurlencode($nonce) .'" '         .'oauth_timestamp="' .rawurlencode($timestamp) .'" '         .'oauth_signature_method="' .rawurlencode($signatureMethod) .'" '         .'oauth_version="' .rawurlencode($version) .'" '         .'oauth_signature="' .rawurlencode($signature) .'"'                                       RESTlet Header Example                              Authorization: OAuth realm="123456" oauth_consumer_key="ef40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4" oauth_token="2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc" oauth_nonce="fjaLirsIcCGVZWzBX0pg" oauth_timestamp="1508242306" oauth_signature_method="HMAC-SHA256" oauth_version="1.0" oauth_signature="7mpNx1RdQn4VLSyeEwCK7jFBjGQ0blzwDSMU9Kg5Rmg%3D"                                                           REST Web Services Header                          $header = 'Authorization: OAuth '         .'realm="' .rawurlencode($realm) .'" '         .'oauth_token="' .rawurlencode($tokenKey) .'" '         .'oauth_consumer_key="' .rawurlencode($consumerKey) .'" '         .'oauth_nonce="' .rawurlencode($nonce) .'" '         .'oauth_timestamp="' .rawurlencode($timestamp) .'" '         .'oauth_signature_method="' .rawurlencode($signatureMethod) .'" '         .'oauth_version="' .rawurlencode($version) .'" '         .'oauth_signature="' .rawurlencode($signature) .'"'                                             REST Web Services Header Example                          Authorization: OAuth realm="123456" oauth_token="2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc" oauth_consumer_key="ef40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4" oauth_nonce="fjaLirsIcCGVZWzBX0pg" oauth_timestamp="1508242306" oauth_signature_method="HMAC-SHA256" oauth_version="1.0" oauth_signature="B5OIWznZ2YP0OB7VrJrGkYsTh%2B8H%2B5T9Hag%2Bo92q0zY%3D",FS
Authentication Testing,Authentication Testing,Authentication Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1534941088.html,,,,,,,,FS
The Signature for Web Services and RESTlets,The Signature for Web Services and RESTlets,The Signature for Web Services and RESTlets,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1534941088.html,,,,,,,,FS
Generate a Signature,Generate a Signature,Generate a Signature                      Warning:             The end of support for the HMAC-SHA1 signature method targeted for 2021.2 has been postponed. However the algorithm used by the HMAC-SHA1 signature method is no longer considered secure. You should update your integrations to use the HMAC-SHA256 signature method as soon as possible.                    Some users have difficulty constructing a valid signature.          The following sections describes how to correctly create a signature and provides PHP examples for each step.                                                    Input Parameters for the Example                                                                    Step One Construct a Base String for the Signature                                                                    Step Two Signature Key                                                                    Step Three Signature                                                          Note:             All encoding in TBA is percent encoding. For more information about percent encoding go to (https://tools.ietf.org/html/rfc5849#section-3.6). The examples in this section use PHP rawurlencode.                                Input Parameters for the Example            These are the input parameters used for this example.                          $url = 'https://123456.restlets.api.netsuite.com/app/site/hosting/restlet.nl?script=6&amp;deploy=1&amp;customParam=someValue&amp;testParam=someOtherValue';//or https://123456.suitetalk.api.netsuite.com/services/NetSuitePort_2015_2 for webservices//or https://123456.suitetalk.api.netsuite.com/services/rest/record/v1/employee/40 for REST web services$httpMethod = 'POST'; //or $httpMethod = 'GET'; for REST Web Services$tokenKey = '2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc';$tokenSecret = 'c29a677df7d5439a458c063654187e3d678d73aca8e3c9d8bea1478a3eb0d295';$consumerKey = 'ef40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4';$consumerSecret = 'd26ad321a4b2f23b0741c8d38392ce01c3e23e109df6c96eac6d099e9ab9e8b5';$signatureMethod = 'HMAC-SHA256';     //or HMAC-SHA1$nonce = 'fjaLirsIcCGVZWzBX0pg';      //substr(str_shuffle("0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ") 0 20);$timestamp = '1508242306';            //time();$version = '1.0';$realm = '123456';                   //scompid                                             Step One Construct a Base String for the Signature            The first step in creating signature is constructing a Base String. This is the only step in generating a signature which is different for SOAP web services and RESTlets.                          Note:               If you are constructing a signature for the TBA authorization flow be aware of the following:                                                The token and oauth_verifier parameters required for the base string are not shown in the following examples. See The Three-Step TBA Authorization Flow for information about these parameters.                                                  Except for the realm parameter all parameters shown in the table in Request Header Parameters in the Authorization Header for Step One must be part of base string.                                                  You can follow the RESTlets format as a guideline for constructing the base string as RESTlets also follows the OAuth 1.0 specification.                                                                    SOAP Web Services                              $baseString = rawurlencode($realm) ."&amp;". rawurlencode($consumerKey) ."&amp;". rawurlencode($tokenKey) ."&amp;". rawurlencode($nonce) ."&amp;". rawurlencode($timestamp);                                             SOAP Web Services Base String Example                For SOAP web services the creation of the Base String creation is straightforward. Use percent encoding. Parameters include: realm (accountID also called scompid) consumer key token key nonce and timestamp with the ampersand character (&amp;) as the delimiter.                                  123456&amp;ef40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4&amp;2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc&amp;fjaLirsIcCGVZWzBX0pg&amp;1508242306                                                                     RESTlets                              $baseString = oauth_get_sbs($httpMethod $url array('oauth_consumer_key' =&gt; $consumerKey                                                     'oauth_nonce' =&gt; $nonce                                                     'oauth_signature_method' =&gt; $signatureMethod                                                     'oauth_timestamp' =&gt; $timestamp                                                     'oauth_token' =&gt; $tokenKey                                                     'oauth_version' =&gt; $version));                                             RESTlets Base String Example                This RESTlets example uses the oauth library. For more information see https://tools.ietf.org/html/rfc5849#section-3.4.1.                                  POST%https%3A%2F%2F123456.restlets.api.netsuite.com%2Fapp%2Fsite%2Fhosting%2Frestlet.nl%customParam%3DsomeValue%26deploy%3D1%26oauth_consumer_key%3Def40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4%26oauth_nonce%3DfjaLirsIcCGVZWzBX0pg%26oauth_signature_method%3DHMAC-SHA256%26oauth_timestamp%3D1508242306%26oauth_token%3D2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc%26oauth_version%3D1.0%26script%3D6%26testParam%3DsomeOtherValue                                                                     REST Web Services                              $baseString = oauth_get_sbs($httpMethod $url array('oauth_consumer_key' =&gt; $consumerKey                                                     'oauth_nonce' =&gt; $nonce                                                     'oauth_signature_method' =&gt; $signatureMethod                                                     'oauth_timestamp' =&gt; $timestamp                                                     'oauth_token' =&gt; $tokenKey                                                     'oauth_version' =&gt; $version));                                             REST Web Services Base String Example                This RESTlets example uses the oauth library. For more information see https://tools.ietf.org/html/rfc5849#section-3.4.1.                                  GET&amp;https%3A%2F%2F123456.suitetalk.api.netsuite.com%2Fservices%2Frest%2Frecord%2Fv1%2Femployee%2F40&amp;oauth_consumer_key%3Def40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4%26oauth_nonce%3DfjaLirsIcCGVZWzBX0pg%26oauth_signature_method%3DHMAC-SHA256%26oauth_timestamp%3D1508242306%26oauth_token%3D2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc%26oauth_version%3D1.0                                                                           Step Two Signature Key            The signature key is used to sign the base string in the HMAC-SHA algorithm. The key is constructed from the URL-encoded values for consumer secret and token secret with the ampersand character (&amp;) as the delimiter.                          $key = rawurlencode($consumerSecret) .'&amp;'. rawurlencode($tokenSecret);                                             Step Three Signature            The signature parameter is a base64 value of the HMAC-SHA where the message is Base String and the value of the key parameter is the key from the previous step.                          $signature = base64_encode(hash_hmac('sha256' $baseString $key true));    //or sha1                                       SOAP Web Services Signature                              tIcC5zyKUmycB5Ml/cNxOHDusw03Y5KPQiXVNUHHp4U=                                                     RESTlets Signature                              KK4SKNgz4ZiILGLwOMtfYlgcXSy1eis8ldE9X90azQ=                                                     REST Web Services Signature                              B5OIWznZ2YP0OB7VrJrGkYsTh%2B8H%2B5T9Hag%2Bo92q0zY%3D,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1534941088.html,,,,,,,Generate a Signature                      Warning:             The end of support for the HMAC-SHA1 signature method targeted for 2021.2 has been postponed. However the algorithm used by the HMAC-SHA1 signature method is no longer considered secure. You should update your integrations to use the HMAC-SHA256 signature method as soon as possible.                    Some users have difficulty constructing a valid signature.          The following sections describes how to correctly create a signature and provides PHP examples for each step.                                                    Input Parameters for the Example                                                                    Step One Construct a Base String for the Signature                                                                    Step Two Signature Key                                                                    Step Three Signature                                                          Note:             All encoding in TBA is percent encoding. For more information about percent encoding go to (https://tools.ietf.org/html/rfc5849#section-3.6). The examples in this section use PHP rawurlencode.                                Input Parameters for the Example            These are the input parameters used for this example.                          $url = 'https://123456.restlets.api.netsuite.com/app/site/hosting/restlet.nl?script=6&amp;deploy=1&amp;customParam=someValue&amp;testParam=someOtherValue';//or https://123456.suitetalk.api.netsuite.com/services/NetSuitePort_2015_2 for webservices//or https://123456.suitetalk.api.netsuite.com/services/rest/record/v1/employee/40 for REST web services$httpMethod = 'POST'; //or $httpMethod = 'GET'; for REST Web Services$tokenKey = '2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc';$tokenSecret = 'c29a677df7d5439a458c063654187e3d678d73aca8e3c9d8bea1478a3eb0d295';$consumerKey = 'ef40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4';$consumerSecret = 'd26ad321a4b2f23b0741c8d38392ce01c3e23e109df6c96eac6d099e9ab9e8b5';$signatureMethod = 'HMAC-SHA256';     //or HMAC-SHA1$nonce = 'fjaLirsIcCGVZWzBX0pg';      //substr(str_shuffle("0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ") 0 20);$timestamp = '1508242306';            //time();$version = '1.0';$realm = '123456';                   //scompid                                             Step One Construct a Base String for the Signature            The first step in creating signature is constructing a Base String. This is the only step in generating a signature which is different for SOAP web services and RESTlets.                          Note:               If you are constructing a signature for the TBA authorization flow be aware of the following:                                                The token and oauth_verifier parameters required for the base string are not shown in the following examples. See The Three-Step TBA Authorization Flow for information about these parameters.                                                  Except for the realm parameter all parameters shown in the table in Request Header Parameters in the Authorization Header for Step One must be part of base string.                                                  You can follow the RESTlets format as a guideline for constructing the base string as RESTlets also follows the OAuth 1.0 specification.                                                                    SOAP Web Services                              $baseString = rawurlencode($realm) ."&amp;". rawurlencode($consumerKey) ."&amp;". rawurlencode($tokenKey) ."&amp;". rawurlencode($nonce) ."&amp;". rawurlencode($timestamp);                                             SOAP Web Services Base String Example                For SOAP web services the creation of the Base String creation is straightforward. Use percent encoding. Parameters include: realm (accountID also called scompid) consumer key token key nonce and timestamp with the ampersand character (&amp;) as the delimiter.                                  123456&amp;ef40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4&amp;2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc&amp;fjaLirsIcCGVZWzBX0pg&amp;1508242306                                                                     RESTlets                              $baseString = oauth_get_sbs($httpMethod $url array('oauth_consumer_key' =&gt; $consumerKey                                                     'oauth_nonce' =&gt; $nonce                                                     'oauth_signature_method' =&gt; $signatureMethod                                                     'oauth_timestamp' =&gt; $timestamp                                                     'oauth_token' =&gt; $tokenKey                                                     'oauth_version' =&gt; $version));                                             RESTlets Base String Example                This RESTlets example uses the oauth library. For more information see https://tools.ietf.org/html/rfc5849#section-3.4.1.                                  POST%https%3A%2F%2F123456.restlets.api.netsuite.com%2Fapp%2Fsite%2Fhosting%2Frestlet.nl%customParam%3DsomeValue%26deploy%3D1%26oauth_consumer_key%3Def40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4%26oauth_nonce%3DfjaLirsIcCGVZWzBX0pg%26oauth_signature_method%3DHMAC-SHA256%26oauth_timestamp%3D1508242306%26oauth_token%3D2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc%26oauth_version%3D1.0%26script%3D6%26testParam%3DsomeOtherValue                                                                     REST Web Services                              $baseString = oauth_get_sbs($httpMethod $url array('oauth_consumer_key' =&gt; $consumerKey                                                     'oauth_nonce' =&gt; $nonce                                                     'oauth_signature_method' =&gt; $signatureMethod                                                     'oauth_timestamp' =&gt; $timestamp                                                     'oauth_token' =&gt; $tokenKey                                                     'oauth_version' =&gt; $version));                                             REST Web Services Base String Example                This RESTlets example uses the oauth library. For more information see https://tools.ietf.org/html/rfc5849#section-3.4.1.                                  GET&amp;https%3A%2F%2F123456.suitetalk.api.netsuite.com%2Fservices%2Frest%2Frecord%2Fv1%2Femployee%2F40&amp;oauth_consumer_key%3Def40afdd8abaac111b13825dd5e5e2ddddb44f86d5a0dd6dcf38c20aae6b67e4%26oauth_nonce%3DfjaLirsIcCGVZWzBX0pg%26oauth_signature_method%3DHMAC-SHA256%26oauth_timestamp%3D1508242306%26oauth_token%3D2b0ce516420110bcbd36b69e99196d1b7f6de3c6234c5afb799b73d87569f5cc%26oauth_version%3D1.0                                                                           Step Two Signature Key            The signature key is used to sign the base string in the HMAC-SHA algorithm. The key is constructed from the URL-encoded values for consumer secret and token secret with the ampersand character (&amp;) as the delimiter.                          $key = rawurlencode($consumerSecret) .'&amp;'. rawurlencode($tokenSecret);                                             Step Three Signature            The signature parameter is a base64 value of the HMAC-SHA where the message is Base String and the value of the key parameter is the key from the previous step.                          $signature = base64_encode(hash_hmac('sha256' $baseString $key true));    //or sha1                                       SOAP Web Services Signature                              tIcC5zyKUmycB5Ml/cNxOHDusw03Y5KPQiXVNUHHp4U=                                                     RESTlets Signature                              KK4SKNgz4ZiILGLwOMtfYlgcXSy1eis8ldE9X90azQ=                                                     REST Web Services Signature                              B5OIWznZ2YP0OB7VrJrGkYsTh%2B8H%2B5T9Hag%2Bo92q0zY%3D,FS
NetSuite Â· Banking,NetSuite Â· Banking,NetSuite Â· Banking,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/chapter_N3944673.html,,,,,,,,FS
Banking,Banking,Banking,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4316105394.html,,,,,,,,FS
Banking Testing,Banking Testing,Banking Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_157913557426.html#subsect_nsy_zxf_wtb,,,,,,,,FS
Cash 360 Enhancements,Cash 360 Enhancements,Cash 360 Enhancements,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_157913557426.html,,,,,,,,FS
