Product,Category,SubCategory,FeatureType,FeatureDetails,HeaderDetails,HeaderTitle,ReleaseWave,ImpactLevel,FoodAndBeverage,Retail,Industrials,LifeSciences,PublicSector,HealthCare,NonProfit,BusinessAndProfessionalServices,GroupNode
FS,,,,null,,,,,,,,,,,,,Yes
FS,CSV Import,,,null,,,,,,,,,,,,,Yes
FS,CSV Import,CSV Import Testing,,null,,,,,,,,,,,,,Yes
FS,CSV Import,CSV Import Testing,,null,,,,,,,,,,,,,No
FS,CSV Import,CSV Import Testing,,null,<h1 class="sect1"></h1>,Imported Employee Expense Import,2022 Wave 1,,,,,,,,,,No
FS,,,,null,,,,,,,,,,,,,Yes
FS,Employee Management,,,null,,,,,,,,,,,,,Yes
FS,Employee Management,Employee Management Testing,,null,,,,,,,,,,,,,Yes
FS,Employee Management,Employee Management Testing,,null,,,,,,,,,,,,,No
FS,Employee Management,Employee Management Testing,,null,<div><br>          <h2 id="subsect_163718569224"></h2><br>          <p>Within the Employee Record there are now two additional gender field options in the Personal Information section of the <strong>Human Resources</strong> subtab. When selecting a gender from the <strong>Gender</strong> list users can now choose <strong>Not Specified</strong> or <strong>Non-Binary</strong> as well as the existing Male and Female list items. All existing areas that use the Gender field will now display the new fields.</p><br>          <p>For more information see the help topic <a href="section_N895403.html">Entering Human Resources Information for an Employee</a>.</p><br>        </div>,Employee Record Gender Field Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Employee Management,Employee Management Testing,,null,<div><br>          <h2 id="subsect_163716577588"></h2><br>          <p>The Performance Management feature introduces the following enhancements:</p><br>          <ul>            <li>              <p>                <a href="#subsect_163836951151">Performance Review Scheduler Enhancements</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163837346888">New Manager Digest</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163837403135">New Dataset Templates</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163837421922">Goals Enhancements</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163837570063">Kudos Enhancements</a><br>              </p><br>            </li><br>          </ul><br>          <div><br>            <h3 id="subsect_163836951151">Performance Review Scheduler Enhancements</h3><br>            <p>The performance review scheduler introduces the Basic performance review schedule and the Advanced performance review schedule. The following enhancements are now included in the performance review scheduler:</p><br>            <ul>              <li>                <p>The Performance Review Schedule page now includes the following radio button labels:</p><br>                <ul>                  <li>                    <p>Schedule Type</p><br>                  </li><br>                  <li>                    <p>Launch Date Type</p><br>                  </li><br>                </ul><br>              </li><br>              <li>                <p>The Performance Review Schedule page now includes the following radio buttons:</p><br>                <ul>                  <li>                    <p>Basic Schedule</p><br>                  </li><br>                  <li>                    <p>Advanced Schedule</p><br>                  </li><br>                  <li>                    <p>Fixed</p><br>                  </li><br>                  <li>                    <p>Relative</p><br>                  </li><br>                </ul><br>              </li><br>              <li>                <p>The Basic performance review schedule lets you schedule a performance review based on subsidiary location department or job title. You can also choose calendar dates for the review due dates and review period.</p><br>              </li><br>              <li>                <p>With the SuiteAnalytics Workbook feature you can attach available datasets to the Advanced performance review schedules to define employees who will receive performance reviews. The Advanced performance review schedule includes two options:</p><br>                <ul>                  <li>                    <p>The Fixed Date Schedule â if you have the Talent Administrator permission you can create performance reviews and define the review timeline based on calendar dates.</p><br>                  </li><br>                  <li>                    <p>The Relative Date Schedule â if you have the Talent Administrator permission you can create performance reviews and define the review timeline based on a relative date like hire date.</p><br>                  </li><br>                </ul><br>              </li><br>              <li>                <p>The Performance Review Schedule list page now includes the following columns:</p><br>                <ul>                  <li>                    <p>Basic /Advanced</p><br>                  </li><br>                  <li>                    <p>Fixed / Relative</p><br>                  </li><br>                </ul><br>              </li><br>            </ul><br>            <p>For more information see the help topic <a href="section_157538107652.html">Scheduling Performance Reviews</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163837346888">New Manager Digest</h3><br>            <p>The Manager Digest is a monthly email sent to managers to update them on their teamâs achievements goal progress Areas of Focus and performance reviews. The Manager Digest is sent on the first Monday of every month. The Manager Digest period starts on the day the last Manager Digest was sent and ends on the day before the current Manager Digest is sent. For example if the Manager Digest has a period from November 1 to November 30 the Manager Digest will be sent out on December 1.</p><br>            <p>Managers will only receive the Manager Digest if their team has at least one goal in progress of if they have to take action on their teamâs performance reviews.</p><br>            <p>The following information is included in the Manager Digest:</p><br>            <ul>              <li>                <p>Managers can view who received Kudos and who has goals ahead of schedule.</p><br>              </li><br>              <li>                <p>Managers can view which goals are in progress completed not completed and cancelled.</p><br>              </li><br>              <li>                <p>Managers can view comments left on goals and which goals are behind schedule.</p><br>              </li><br>              <li>                <p>Managers can view which goals were updated and which goals were connected with Areas of Focus.</p><br>              </li><br>            </ul><br>            <p>For more information see the help topic <a href="section_163906826822.html">Manager Digest</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163837403135">New Dataset Templates</h3><br>            <p>The Advanced performance review scheduler utilizes SuiteAnalytics datasets to define the recipient lists for your performance reviews. The following dataset templates are now included:</p><br>            <ul>              <li>                <p>Performance Management â Reviews Scheduler</p><br>              </li><br>              <li>                <p>Reviews Scheduler by Relative Date</p><br>              </li><br>            </ul><br>            <p>For more information see the help topic <a href="section_163882614060.html">Performance Management Dataset Templates</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163837421922">Goals Enhancements</h3><br>            <p>The Goals feature now includes additional information to provide employees and managers more flexibility and visibility when interacting with goals. The following changes are now included:</p><br>            <ul>              <li>                <p>Employees can now delete unwanted goals that have not been approved by their manager. The Goal window now shows a Delete option in the Actions menu.</p><br>              </li><br>              <li>                <p>The new History subtab on the Goal window shows the history of changes made to the goal. Employees and managers can view which fields changed the content of the changes and when the changes were made.</p><br>              </li><br>            </ul><br>            <p>For more information see the help topic <a href="rc_1495765765.html">Viewing Goals</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163837570063">Kudos Enhancements</h3><br>            <p>The Kudos portlet now displays the dates that Kudos are given. For more information see <a href="bridgehead_4731694029.html">Interacting with Kudos in the Employee Center</a>.</p><br>          </div><br>        </div>,Performance Management Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Employee Management,Employee Management Testing,,null,<div><br>          <h2 id="subsect_163775354262"></h2><br>          <p>In Netsuite 2022.1 the REST API exposure for the TimeBill record is available. This change brings another standardized method of communication. It enhances NetSuite's connectivity to external systems. For more information see the help topic <a href="section_N3691883.html">Time Bill (Track Time)</a>.</p><br>        </div>,REST API for Time Bill,2022 Wave 1,,,,,,,,,,No
FS,,,,null,,,,,,,,,,,,,Yes
FS,Globalization,,,null,,,,,,,,,,,,,Yes
FS,Globalization,Paired Intercompany Transactions Enhancement,,null,,,,,,,,,,,,,Yes
FS,Globalization,Paired Intercompany Transactions Enhancement,,null,,,,,,,,,,,,,No
FS,Globalization,Paired Intercompany Transactions Enhancement,,null,<div><br>          <h2 id="subsect_164130914647"></h2><br>          <p>NetSuite 2022.1 lets you pair stand-alone intercompany credit memos and vendor credits. You create a link between the two documents through the Paired Intercompany Transaction field on the two records. NetSuite filters the relevant documents based on the subsidiary entity and currency. For more information about pairing intercompany documents see <a href="article_158989895273.html">Pairing Intercompany Transactions</a>.</p><br>        </div>,Paired Intercompany Transactions Enhancement,2022 Wave 1,,,,,,,,,,No
FS,,,,null,,,,,,,,,,,,,Yes
FS,Inventory Management,,,null,,,,,,,,,,,,,Yes
FS,Inventory Management,Inventory Management Testing,,null,,,,,,,,,,,,,Yes
FS,Inventory Management,Inventory Management Testing,,null,,,,,,,,,,,,,No
FS,Inventory Management,Inventory Management Testing,,null,<div><br>          <h2 id="subsect_163700222358"></h2><br>          <p>The Allocated Demand and Allocated Supply pop-up windows are now available on the Supply Chain Snapshot:</p><br>          <ul>            <li>              <p>On supply order lines such as purchase orders transfer orders or work orders the allocated demand figure links to a pop-up window. This pop-up window displays the details of each allocated demand order.</p><br>            </li><br>            <li>              <p>On inventory lines the allocated demand figure links to a pop-up window which displays the details of each allocated demand order.</p><br>            </li><br>            <li>              <p>Allocated demand order lines can be sales orders transfer orders order reservations or work orders.</p><br>            </li><br>            <li>              <p>On demand order lines such as sales orders transfer orders or work orders (component lines) the allocated supply figure links to a pop-up window. This pop-up window displays allocated source of supply details. Sources of supply can be inventory or supply orders.</p><br>            </li><br>            <li>              <p>When an organization experiences shortages demand orders are delayed. The allocated supply pop-up window displays where the inventory or supply is missing or delayed.</p><br>            </li><br>            <li>              <p>The allocated demand pop-up window displays where supply order or inventory is allocated and which demand orders are affected.</p><br>            </li><br>          </ul><br>          <div><br>            <h3 id="subsect_163771154788">Supply Chain Control Tower Enhancements</h3><br>            <p>NetSuite 2022.1 includes the following updates to the Supply Chain Control Tower Vendor Performance feature:</p><br>            <ul>              <li>                <p>                  <a href="#subsect_163771192698">Vendor Performance History</a><br>                </p><br>              </li><br>              <li>                <p>                  <a href="#subsect_163771202592">Saved Search Enhancements</a><br>                </p><br>              </li><br>              <li>                <p>                  <a href="#subsect_163771199706">Vendor Delivery Performance Scores</a><br>                </p><br>              </li><br>            </ul><br>            <div><br>              <h4 id="subsect_163771192698">Vendor Performance History</h4><br>              <p>To improve vendor performance analysis you can now create a Vendor Performance History list view based on the System Note saved search. You can create a new reminder by adding the custom saved search to negative vendor performance changes. This information helps purchasing managers improve vendor management.</p><br>            </div><br>            <div><br>              <h4 id="subsect_163771202592">Saved Search Enhancements</h4><br>              <p>Updated to the NetSuite saved search feature enables you to do the following:</p><br>              <ul>                <li>                  <p>Create a system notes saved search that focusses on vendor performance data or on vendors who display a negative performance trend.</p><br>                  <p>The fields related to vendor performance are Predicted Days Late/Early and Predicted Risk Confidence.</p><br>                </li><br>                <li>                  <p>Create a new reminder by adding the custom saved search to negative vendor performance changes. This information helps purchasing managers improve vendor management.</p><br>                </li><br>              </ul><br>            </div><br>            <div><br>              <h4 id="subsect_163771199706">Vendor Delivery Performance Scores</h4><br>              <p>NetSuite enables you to review the available vendor performance scores when:</p><br>              <ul>                <li>                  <p>Creating Purchase Orders.</p><br>                </li><br>                <li>                  <p>Releasing orders from the Order Items page.</p><br>                </li><br>                <li>                  <p>Releasing orders from the Order Requisitions page.</p><br>                </li><br>              </ul><br>              <p>Clicking the Purchase Order form Vendor Performance link opens a vendor list that displays late delivery scores based on historic transaction analysis. A similar link from an item on the Order Release page displays the Item Record Vendor list with late delivery scores.</p><br>              <p>To invoke a late delivery prediction calculation for each purchase order click the Get Prediction button before sending the order to the approver and vendor.</p><br>              <ul>                <li>                  <p>The late delivery prediction is calculated using Purchase Delivery History which is a self-learning learning algorithm that analyzes a complex set of transaction parameters.</p><br>                  <p>You can review new order predictions from the Supply Chain Control Tower Dashboard Predicted Risks portlet under the Late Purchase Orders tab.</p><br>                </li><br>                <li>                  <p>Based on this predicted risk you can re-formulate your purchase order by changing vendor or altering the order requested date.</p><br>                </li><br>              </ul><br>            </div><br>          </div><br>        </div>,New Supply Allocation Pop-up Window,2022 Wave 1,,,,,,,,,,No
FS,Inventory Management,Inventory Management Testing,,null,<div><br>          <h2 id="subsect_163697540290"></h2><br>          <p>NetSuite 2022.1 includes the following updates to the Supply Planning feature:</p><br>          <ul>            <li>              <p>An Item Description is now included on all Workbench Detail Panels. The vendorâs name appears on the Supply Detail panel source field.</p><br>            </li><br>            <li>              <p>A new Safety Stock line has been added to the Workbench Date-Based Grid view.</p><br>            </li><br>          </ul><br>          <div><br>            <h3 id="subsect_163700490699">New Planning Workbench View Filters</h3><br>            <p>This release enables you to create a saved planning workbench view which can include pre-set filters and an embedded item saved search. The item saved search can include item-related criteria such as item location and preferred supplier.</p><br>            <p>You can use Saved Search to filter the planning workbench results for the item preferred supplier. This enables the planner or buyer can view all related planning data for that supplier.</p><br>            <p>The Supply Planning Workbench Saved View feature enables you to create a saved search that filters for an item custom field that you can call. This feature combines these concepts to provide a set of saved searches and a custom search.</p><br>          </div><br>        </div>,Supply Planning Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Inventory Management,Inventory Management Testing,,null,<div><br>          <h2 id="subsect_163769041154"></h2><br>          <p>NetSuite 2022.1 includes the following Warehouse Management enhancements:</p><br>          <ul>            <li>              <p>                <a href="#subsect_163769066192">Scheduled Release of Multiple Waves</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163769050304">Zone Picking for Single and Multiple Orders</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163967880359">Pick Carton Reuse</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163839245040">Bulk Load Option to Transfer Staged Items into Carts</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163769091884">Item Label Printing on Search Inventory</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163769335047">Tally Scanning Support for Additional Mobile Processes</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_163839259597">Support for Centralized Purchasing</a><br>              </p><br>            </li><br>          </ul><br>          <p>To view the customization enhancements for SCM Mobile see <a href="section_1508778865.html#subsect_163698000172">SCM Mobile Enhancements</a>.</p><br>          <div><br>            <h3 id="subsect_163769066192">Scheduled Release of Multiple Waves</h3><br>            <p>The WMS Wave Release Schedule page contains the following new fields for releasing multiple waves:</p><br>            <ul>              <li>                <p><strong>Generate Multiple Waves</strong> - If you check this box you can generate up to 500 waves for each scheduled release. When this box is checked your wave order limit must always be greater than or equal to one.</p><br>              </li><br>              <li>                <p><strong>Wave Release Limit</strong> - In this field you can enter the maximum number of waves that you want to generate for each scheduled release. You can enter a number between 1 to 500.</p><br>              </li><br>            </ul><br>            <p>For more information see <a href="section_161721775390.html">Creating a Wave Release Schedule</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163769050304">Zone Picking for Single and Multiple Orders</h3><br>            <p>NetSuite 2022.1 provides the following system rules that enable you to select one or more zones from which you want to pick items:</p><br>            <ul>              <li>                <p><strong>Enable Zone Picking for single orders</strong> - Supports the Pick &amp; Merge picking type for single orders. It includes the setting to require staging of all items from an order in the same bin.</p><br>              </li><br>              <li>                <p><strong>Enable Zone Picking for multiple orders</strong> â Supports the Pick &amp; Merge picking type for multiple orders. It contains the setting that lets you stage items per order. It also includes the setting to require staging of all items from an order in the same bin.</p><br>              </li><br>            </ul><br>            <p>On your mobile device you can select the first bin used to stage the picked items for an order. In the list of staging bins this bin appears with an asterisk beside its name.</p><br>            <p>For more information see <a href="section_156406918320.html">System Rules for NetSuite WMS</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163967880359">Pick Carton Reuse</h3><br>            <p>If you activate a Use cartons rule you can use and reuse pick cartons for orders that you process on a mobile device. To reuse you must pack all the items in the pick carton. The fulfillment records associated with these items must be in Packed status. For more information see <a href="section_1541442950.html">Picking Orders</a> or <a href="section_156406918320.html">System Rules for NetSuite WMS</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163839245040">Bulk Load Option to Transfer Staged Items into Carts</h3><br>            <p>You can activate the <strong>Enable bulk loading into staging carts</strong> system rule to transfer multiple items for putaway into a cart. On your mobile device you can select and process up to ten items at a time.</p><br>            <p>You can activate this system rule if you activate the <strong>Stage received items before putting away?</strong> system rule. For more information see <a href="section_156406918320.html">System Rules for NetSuite WMS</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163769091884">Item Label Printing on Search Inventory</h3><br>            <p>On your mobile device you can search for items and print item labels. For numbered items you can print labels with lot or serial numbers. For more information see <a href="article_163113050855.html">Label Printing and Reprinting</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163769335047">Tally Scanning Support for Additional Mobile Processes</h3><br>            <p>Tally Scanning now supports the following mobile processes:</p><br>            <ul>              <li>                <p>Bin Putaway</p><br>              </li><br>              <li>                <p>Bin Transfer</p><br>              </li><br>              <li>                <p>Inventory Transfer</p><br>              </li><br>              <li>                <p>Cycle Count</p><br>              </li><br>              <li>                <p>Returns</p><br>              </li><br>            </ul><br>            <p>When you activate the Enable Tally Scan system rule make sure you select the supported process in the <strong>Apply Rule To</strong> field. You can tally scan the item name alias and UPC of an item bar code. If you also activate the <strong>Enable Advanced Barcode Scanning</strong> system rule you can tally scan the supported GS1 formats for item bar codes. For more information see <a href="section_156406918320.html">System Rules for NetSuite WMS</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_163839259597">Support for Centralized Purchasing</h3><br>            <p>If you use the Centralized Purchasing and Billing Feature you can receive purchase orders across multiple subsidiaries and locations. On your mobile device you can select the target location of the purchase order line.</p><br>            <p>Note that centralized purchase orders do not support inbound shipments and drop ship orders. To view the other feature restrictions and limitations that also apply to receiving on a mobile device see <a href="article_161122386910.html">Centralized Purchasing and Billing</a>.</p><br>          </div><br>        </div>,Warehouse Management Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Inventory Management,Inventory Management Testing,,null,,,,,,,,,,,,,Yes
FS,Inventory Management,Inventory Management Testing,,null,,,,,,,,,,,,,No
FS,Inventory Management,Inventory Management Testing,,null,<div><br>          <h2 id="subsect_163769304934"></h2><br>          <p>Starting 2022.1 you can trigger an inspection queue on demand with or without reference to a NetSuite transaction context. Quality Management SuiteApp provides enhanced quality control with ad hoc inspection queues which you can manually trigger to inspect items.</p><br>          <p>You can create the following types of ad hoc inspection queues:</p><br>          <ul>            <li>              <p><strong>A queue with a transaction reference</strong> â to inspect an item with reference to a parent or an inventory transaction before you receive it in inventory or after rework with different inspection criteria.</p><br>            </li><br>            <li>              <p><strong>A queue without a transaction reference</strong> â to inspect an item on a shelf or in inventory at any time.</p><br>            </li><br>          </ul><br>          <p>For more information see <a href="article_164133074791.html">On-Demand Quality Inspection Queues</a> and <a href="article_164133114727.html">Ad Hoc Inspection Queues</a>.</p><br>        </div>,New On-demand Inspection Queue Capability in Quality Management,2022 Wave 1,,,,,,,,,,No
